"Step","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_9_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_9_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_9_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_8_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_8_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_8_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_7_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_7_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_7_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_6_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_6_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_6_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_5_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_5_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_5_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_4_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_4_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_4_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_3_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_3_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_3_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_2_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_2_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_2_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_1_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_1_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_1_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_0_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_0_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_10_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","-150.40625","-150.40625","-150.40625","-200","-200","-200","-177.1953125","-177.1953125","-177.1953125","-200","-200","-200","-200","-200","-200","-200","-200","-200","-172.4140625","-172.4140625","-172.4140625","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"1","-141.2421875","-141.2421875","-141.2421875","-200","-200","-200","-108.3515625","-108.3515625","-108.3515625","-200","-200","-200","-200","-200","-200","-200","-200","-200","-137.59375","-137.59375","-137.59375","-200","-200","-200","-200","-200","-200","-198.90625","-198.90625","-198.90625"
"2","-89.5078125","-89.5078125","-89.5078125","-199.9296875","-199.9296875","-199.9296875","-100.9609375","-100.9609375","-100.9609375","-196.6640625","-196.6640625","-196.6640625","-170.0390625","-170.0390625","-170.0390625","-200","-200","-200","-102.25","-102.25","-102.25","-200","-200","-200","-96.5625","-96.5625","-96.5625","-176.484375","-176.484375","-176.484375"
"3","-97.9453125","-97.9453125","-97.9453125","-183.625","-183.625","-183.625","-95.3359375","-95.3359375","-95.3359375","-189.9453125","-189.9453125","-189.9453125","-169.5625","-169.5625","-169.5625","-200","-200","-200","-93.59375","-93.59375","-93.59375","-200","-200","-200","-82.9921875","-82.9921875","-82.9921875","-115.625","-115.625","-115.625"
"4","-82.1796875","-82.1796875","-82.1796875","-106.78125","-106.78125","-106.78125","-84.015625","-84.015625","-84.015625","-189.3515625","-189.3515625","-189.3515625","-178.0703125","-178.0703125","-178.0703125","-200","-200","-200","-95.7734375","-95.7734375","-95.7734375","-200","-200","-200","-81.109375","-81.109375","-81.109375","-88.6484375","-88.6484375","-88.6484375"
"5","-79.015625","-79.015625","-79.015625","-88.7265625","-88.7265625","-88.7265625","-85.3984375","-85.3984375","-85.3984375","-182.9453125","-182.9453125","-182.9453125","-174.2265625","-174.2265625","-174.2265625","-200","-200","-200","-90.4609375","-90.4609375","-90.4609375","-117.75","-117.75","-117.75","-82.7265625","-82.7265625","-82.7265625","-86.7734375","-86.7734375","-86.7734375"
"6","-80.9921875","-80.9921875","-80.9921875","-85.125","-85.125","-85.125","-85.875","-85.875","-85.875","-176.4609375","-176.4609375","-176.4609375","-162.2890625","-162.2890625","-162.2890625","-200","-200","-200","-95.859375","-95.859375","-95.859375","-99.9765625","-99.9765625","-99.9765625","-81.2890625","-81.2890625","-81.2890625","-85.6796875","-85.6796875","-85.6796875"
"7","-78.5390625","-78.5390625","-78.5390625","-81.15625","-81.15625","-81.15625","-86.3359375","-86.3359375","-86.3359375","-172.828125","-172.828125","-172.828125","-161.53125","-161.53125","-161.53125","-199.9609375","-199.9609375","-199.9609375","-82.640625","-82.640625","-82.640625","-95.6796875","-95.6796875","-95.6796875","-85.3515625","-85.3515625","-85.3515625","-85.5390625","-85.5390625","-85.5390625"
"8","-82.1640625","-82.1640625","-82.1640625","-84.953125","-84.953125","-84.953125","-86.1484375","-86.1484375","-86.1484375","-163.796875","-163.796875","-163.796875","-156.8828125","-156.8828125","-156.8828125","-199.4609375","-199.4609375","-199.4609375","-85.7265625","-85.7265625","-85.7265625","-96.1328125","-96.1328125","-96.1328125","-83.15625","-83.15625","-83.15625","-85.546875","-85.546875","-85.546875"
"9","-80.4296875","-80.4296875","-80.4296875","-86.15625","-86.15625","-86.15625","-80.9140625","-80.9140625","-80.9140625","-173.4375","-173.4375","-173.4375","-156.9453125","-156.9453125","-156.9453125","-197.8984375","-197.8984375","-197.8984375","-89.953125","-89.953125","-89.953125","-89.6875","-89.6875","-89.6875","-80.8203125","-80.8203125","-80.8203125","-86.625","-86.625","-86.625"
"10","-81.6953125","-81.6953125","-81.6953125","-81.2890625","-81.2890625","-81.2890625","-83.6875","-83.6875","-83.6875","-171.140625","-171.140625","-171.140625","-153.8984375","-153.8984375","-153.8984375","-196.109375","-196.109375","-196.109375","-79.6796875","-79.6796875","-79.6796875","-96.4765625","-96.4765625","-96.4765625","-80.7890625","-80.7890625","-80.7890625","-83.5625","-83.5625","-83.5625"
"11","-200","-200","-200","-200","-200","-200","-200","-200","-200","-199.6796875","-199.6796875","-199.6796875","-200","-200","-200","-200","-200","-200","-91.9140625","-91.9140625","-91.9140625","-193.03125","-193.03125","-193.03125","-200","-200","-200","-81.140625","-81.140625","-81.140625"
"12","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-82.703125","-82.703125","-82.703125","-168.453125","-168.453125","-168.453125","-200","-200","-200","-82.3671875","-82.3671875","-82.3671875"
"13","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-77.6015625","-77.6015625","-77.6015625","-140.3828125","-140.3828125","-140.3828125","-194.9921875","-194.9921875","-194.9921875","-140.1171875","-140.1171875","-140.1171875"
"14","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-84.2890625","-84.2890625","-84.2890625","-152.484375","-152.484375","-152.484375","-199.546875","-199.546875","-199.546875","-197.5078125","-197.5078125","-197.5078125"
"15","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-95.90625","-95.90625","-95.90625","-137.1875","-137.1875","-137.1875","-199.65625","-199.65625","-199.65625","-200","-200","-200"
"16","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-91.03125","-91.03125","-91.03125","-193.15625","-193.15625","-193.15625","-199.171875","-199.171875","-199.171875","-200","-200","-200"
"17","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-102.9609375","-102.9609375","-102.9609375","-199.5703125","-199.5703125","-199.5703125","-200","-200","-200","-200","-200","-200"
"18","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-94.2421875","-94.2421875","-94.2421875","-197.796875","-197.796875","-197.796875","-174.484375","-174.484375","-174.484375","-193.9296875","-193.9296875","-193.9296875"
"19","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-125.7734375","-125.7734375","-125.7734375","-198.09375","-198.09375","-198.09375","-182.5390625","-182.5390625","-182.5390625","-164.4765625","-164.4765625","-164.4765625"
