"Step","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_9_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_9_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_9_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_8_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_8_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_8_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_7_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_7_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_7_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_6_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_6_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_6_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_5_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_5_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_5_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_4_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_4_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_4_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_3_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_3_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_3_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_2_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_2_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_2_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_1_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_1_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_1_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_0_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_0_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","199","199","199","197.3000030517578","197.3000030517578","197.3000030517578","198.3000030517578","198.3000030517578","198.3000030517578","82","82","82","106","106","106","160.60000610351562","160.60000610351562","160.60000610351562","122.75","122.75","122.75","174.15000915527344","174.15000915527344","174.15000915527344","199","199","199","175","175","175"
"3","199","199","199","199","199","199","199","199","199","199","199","199","198.4499969482422","198.4499969482422","198.4499969482422","186.8000030517578","186.8000030517578","186.8000030517578","156.65000915527344","156.65000915527344","156.65000915527344","199","199","199","198.25","198.25","198.25","199","199","199"
"4","183.5500030517578","183.5500030517578","183.5500030517578","199","199","199","199","199","199","199","199","199","199","199","199","196.5","196.5","196.5","198.10000610351562","198.10000610351562","198.10000610351562","180.90000915527344","180.90000915527344","180.90000915527344","199","199","199","199","199","199"
"5","195.6999969482422","195.6999969482422","195.6999969482422","199","199","199","199","199","199","159.4499969482422","159.4499969482422","159.4499969482422","199","199","199","199","199","199","145.85000610351562","145.85000610351562","145.85000610351562","189.60000610351562","189.60000610351562","189.60000610351562","199","199","199","199","199","199"
"9","199","199","199","199","199","199","199","199","199","171.9499969482422","171.9499969482422","171.9499969482422","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"11","199","199","199","199","199","199","74.75","74.75","74.75","195.40000915527344","195.40000915527344","195.40000915527344","199","199","199","185.5","185.5","185.5","199","199","199","199","199","199","199","199","199","199","199","199"
"14","199","199","199","199","199","199","98.5999984741211","98.5999984741211","98.5999984741211","197.5","197.5","197.5","199","199","199","189.60000610351562","189.60000610351562","189.60000610351562","199","199","199","199","199","199","199","199","199","199","199","199"
"16","199","199","199","199","199","199","106.4000015258789","106.4000015258789","106.4000015258789","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"17","199","199","199","199","199","199","127.9000015258789","127.9000015258789","127.9000015258789","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"18","199","199","199","199","199","199","175.90000915527344","175.90000915527344","175.90000915527344","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"19","199","199","199","199","199","199","113.95000457763672","113.95000457763672","113.95000457763672","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"21","115.9000015258789","115.9000015258789","115.9000015258789","199","199","199","199","199","199","199","199","199","53.70000076293945","53.70000076293945","53.70000076293945","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"25","72.0999984741211","72.0999984741211","72.0999984741211","199","199","199","199","199","199","199","199","199","64.0999984741211","64.0999984741211","64.0999984741211","199","199","199","198.60000610351562","198.60000610351562","198.60000610351562","199","199","199","199","199","199","199","199","199"
"26","61.20000076293945","61.20000076293945","61.20000076293945","199","199","199","199","199","199","199","199","199","33.35000228881836","33.35000228881836","33.35000228881836","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"27","58.35000228881836","58.35000228881836","58.35000228881836","199","199","199","199","199","199","199","199","199","129.85000610351562","129.85000610351562","129.85000610351562","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"33","199","199","199","199","199","199","199","199","199","95.30000305175781","95.30000305175781","95.30000305175781","199","199","199","199","199","199","199","199","199","199","199","199","63.400001525878906","63.400001525878906","63.400001525878906","195.9499969482422","195.9499969482422","195.9499969482422"
"34","199","199","199","199","199","199","199","199","199","84.05000305175781","84.05000305175781","84.05000305175781","199","199","199","199","199","199","199","199","199","199","199","199","57.650001525878906","57.650001525878906","57.650001525878906","199","199","199"
"35","199","199","199","199","199","199","199","199","199","58.150001525878906","58.150001525878906","58.150001525878906","199","199","199","199","199","199","199","199","199","199","199","199","116.1500015258789","116.1500015258789","116.1500015258789","199","199","199"
"36","199","199","199","199","199","199","199","199","199","64.80000305175781","64.80000305175781","64.80000305175781","199","199","199","199","199","199","199","199","199","199","199","199","67.30000305175781","67.30000305175781","67.30000305175781","199","199","199"
"39","199","199","199","199","199","199","199","199","199","79.20000457763672","79.20000457763672","79.20000457763672","199","199","199","199","199","199","199","199","199","199","199","199","56.45000076293945","56.45000076293945","56.45000076293945","199","199","199"
"42","181.8000030517578","181.8000030517578","181.8000030517578","199","199","199","106.05000305175781","106.05000305175781","106.05000305175781","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","90.0999984741211","90.0999984741211","90.0999984741211","46.10000228881836","46.10000228881836","46.10000228881836"
"44","141","141","141","199","199","199","142.1999969482422","142.1999969482422","142.1999969482422","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","64.70000457763672","64.70000457763672","64.70000457763672"
"45","160.5500030517578","160.5500030517578","160.5500030517578","199","199","199","160.4499969482422","160.4499969482422","160.4499969482422","199","199","199","198.60000610351562","198.60000610351562","198.60000610351562","199","199","199","199","199","199","199","199","199","189.90000915527344","189.90000915527344","189.90000915527344","62.5","62.5","62.5"
"46","190.8000030517578","190.8000030517578","190.8000030517578","199","199","199","165.85000610351562","165.85000610351562","165.85000610351562","199","199","199","139.0500030517578","139.0500030517578","139.0500030517578","199","199","199","199","199","199","199","199","199","112.5999984741211","112.5999984741211","112.5999984741211","72.80000305175781","72.80000305175781","72.80000305175781"
"48","126.1500015258789","126.1500015258789","126.1500015258789","199","199","199","146.5","146.5","146.5","199","199","199","153.5500030517578","153.5500030517578","153.5500030517578","199","199","199","199","199","199","199","199","199","199","199","199","57.650001525878906","57.650001525878906","57.650001525878906"
"50","193.4499969482422","193.4499969482422","193.4499969482422","199","199","199","199","199","199","133.75","133.75","133.75","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"51","192.4499969482422","192.4499969482422","192.4499969482422","199","199","199","199","199","199","185.35000610351562","185.35000610351562","185.35000610351562","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
