"Step","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_9_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_9_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_9_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_8_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_8_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_8_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_7_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_7_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_7_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_6_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_6_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_6_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_5_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_5_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_5_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_4_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_4_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_4_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_3_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_3_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_3_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_2_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_2_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_2_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_1_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_1_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_1_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_0_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_0_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","199","199","199","120.6500015258789","120.6500015258789","120.6500015258789","198.40000915527344","198.40000915527344","198.40000915527344","148.75","148.75","148.75","181.4499969482422","181.4499969482422","181.4499969482422","199","199","199","199","199","199","139.25","139.25","139.25","120.0999984741211","120.0999984741211","120.0999984741211","199","199","199"
"3","199","199","199","199","199","199","154.10000610351562","154.10000610351562","154.10000610351562","192.90000915527344","192.90000915527344","192.90000915527344","195.35000610351562","195.35000610351562","195.35000610351562","199","199","199","199","199","199","191.90000915527344","191.90000915527344","191.90000915527344","176.60000610351562","176.60000610351562","176.60000610351562","199","199","199"
"4","199","199","199","184.4499969482422","184.4499969482422","184.4499969482422","189.75","189.75","189.75","199","199","199","198.4499969482422","198.4499969482422","198.4499969482422","199","199","199","192.9499969482422","192.9499969482422","192.9499969482422","199","199","199","199","199","199","198.40000915527344","198.40000915527344","198.40000915527344"
"5","199","199","199","199","199","199","199","199","199","199","199","199","192.10000610351562","192.10000610351562","192.10000610351562","199","199","199","199","199","199","196.0500030517578","196.0500030517578","196.0500030517578","169.40000915527344","169.40000915527344","169.40000915527344","196.6999969482422","196.6999969482422","196.6999969482422"
"9","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","172.9499969482422","172.9499969482422","172.9499969482422","199","199","199"
"11","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"14","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","194.40000915527344","194.40000915527344","194.40000915527344","199","199","199"
"16","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","181.25","181.25","181.25","199","199","199"
"17","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","173.25","173.25","173.25","199","199","199"
"18","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","170.75","170.75","170.75","199","199","199"
"19","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"21","199","199","199","198.9499969482422","198.9499969482422","198.9499969482422","199","199","199","92.25","92.25","92.25","145.0500030517578","145.0500030517578","145.0500030517578","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"25","199","199","199","146.0500030517578","146.0500030517578","146.0500030517578","199","199","199","80.0999984741211","80.0999984741211","80.0999984741211","134.75","134.75","134.75","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"26","199","199","199","126.75","126.75","126.75","199","199","199","133.8000030517578","133.8000030517578","133.8000030517578","146.10000610351562","146.10000610351562","146.10000610351562","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"27","199","199","199","129.60000610351562","129.60000610351562","129.60000610351562","199","199","199","83.0999984741211","83.0999984741211","83.0999984741211","170.35000610351562","170.35000610351562","170.35000610351562","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"33","199","199","199","165.65000915527344","165.65000915527344","165.65000915527344","199","199","199","60.79999923706055","60.79999923706055","60.79999923706055","198.65000915527344","198.65000915527344","198.65000915527344","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"34","199","199","199","101.05000305175781","101.05000305175781","101.05000305175781","199","199","199","124.70000457763672","124.70000457763672","124.70000457763672","171.0500030517578","171.0500030517578","171.0500030517578","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"35","199","199","199","160.35000610351562","160.35000610351562","160.35000610351562","199","199","199","92.6500015258789","92.6500015258789","92.6500015258789","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"36","199","199","199","198.35000610351562","198.35000610351562","198.35000610351562","199","199","199","70.45000457763672","70.45000457763672","70.45000457763672","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"39","199","199","199","184.10000610351562","184.10000610351562","184.10000610351562","199","199","199","66.6500015258789","66.6500015258789","66.6500015258789","183.90000915527344","183.90000915527344","183.90000915527344","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"42","25.75","25.75","25.75","130.40000915527344","130.40000915527344","130.40000915527344","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"44","69.9000015258789","69.9000015258789","69.9000015258789","197.0500030517578","197.0500030517578","197.0500030517578","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","173.25","173.25","173.25","199","199","199"
"45","61.29999923706055","61.29999923706055","61.29999923706055","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"46","46.25","46.25","46.25","177.35000610351562","177.35000610351562","177.35000610351562","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"48","124.75","124.75","124.75","193.90000915527344","193.90000915527344","193.90000915527344","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"50","45.25","45.25","45.25","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"51","43.95000076293945","43.95000076293945","43.95000076293945","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"52","72.75","72.75","72.75","195.10000610351562","195.10000610351562","195.10000610351562","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"53","69.25","69.25","69.25","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
"56","41.79999923706055","41.79999923706055","41.79999923706055","187.5500030517578","187.5500030517578","187.5500030517578","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199","199"
