"Step","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_4_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_4_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_4_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_3_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_3_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_3_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_2_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_2_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_2_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_1_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_1_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_1_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_0_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_0_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","10.5234375","10.5234375","10.5234375","10.390625","10.390625","10.390625","10.5078125","10.5078125","10.5078125","10.4453125","10.4453125","10.4453125","10.578125","10.578125","10.578125"
"1","172.203125","172.203125","172.203125","194.8671875","194.8671875","194.8671875","200","200","200","181.8515625","181.8515625","181.8515625","200","200","200"
"2","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"3","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"4","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"5","199.921875","199.921875","199.921875","200","200","200","199.71875","199.71875","199.71875","199.984375","199.984375","199.984375","200","200","200"
"6","200","200","200","200","200","200","199.9765625","199.9765625","199.9765625","199.9765625","199.9765625","199.9765625","200","200","200"
"7","200","200","200","200","200","200","200","200","200","199.7578125","199.7578125","199.7578125","199.515625","199.515625","199.515625"
"8","200","200","200","200","200","200","198.6484375","198.6484375","198.6484375","199.9921875","199.9921875","199.9921875","200","200","200"
"9","199.1484375","199.1484375","199.1484375","200","200","200","199.8359375","199.8359375","199.8359375","200","200","200","200","200","200"
"10","197.7265625","197.7265625","197.7265625","200","200","200","199.484375","199.484375","199.484375","200","200","200","200","200","200"
"11","199.578125","199.578125","199.578125","200","200","200","197.015625","197.015625","197.015625","200","200","200","200","200","200"
"12","199.90625","199.90625","199.90625","199.9765625","199.9765625","199.9765625","199.5625","199.5625","199.5625","200","200","200","199.9921875","199.9921875","199.9921875"
"13","199.125","199.125","199.125","200","200","200","198.875","198.875","198.875","200","200","200","200","200","200"
"14","199.4765625","199.4765625","199.4765625","199.9921875","199.9921875","199.9921875","199.6796875","199.6796875","199.6796875","200","200","200","200","200","200"
"15","199.84375","199.84375","199.84375","200","200","200","199.9453125","199.9453125","199.9453125","200","200","200","199.9921875","199.9921875","199.9921875"
"16","199.734375","199.734375","199.734375","200","200","200","200","200","200","200","200","200","200","200","200"
"17","198.953125","198.953125","198.953125","199.671875","199.671875","199.671875","200","200","200","200","200","200","200","200","200"
"18","198.4296875","198.4296875","198.4296875","200","200","200","200","200","200","200","200","200","200","200","200"
"19","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"20","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"21","200","200","200","200","200","200","200","200","200","199.5703125","199.5703125","199.5703125","200","200","200"
"22","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"23","198.4296875","198.4296875","198.4296875","200","200","200","200","200","200","200","200","200","199.984375","199.984375","199.984375"
"24","199.9140625","199.9140625","199.9140625","199.8984375","199.8984375","199.8984375","200","200","200","200","200","200","200","200","200"
"25","199.9375","199.9375","199.9375","200","200","200","200","200","200","200","200","200","199.984375","199.984375","199.984375"
"26","199.8984375","199.8984375","199.8984375","199.8984375","199.8984375","199.8984375","200","200","200","200","200","200","200","200","200"
"27","199.0078125","199.0078125","199.0078125","197.6328125","197.6328125","197.6328125","200","200","200","200","200","200","200","200","200"
