"Step","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_9_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_9_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_9_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_8_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_8_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_8_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_7_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_7_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_7_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_6_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_6_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_6_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_5_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_5_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_5_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_4_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_4_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_4_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_3_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_3_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_3_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_2_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_2_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_2_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_1_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_1_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_1_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_0_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_0_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","10.5625","10.5625","10.5625","10.5703125","10.5703125","10.5703125","11.6875","11.6875","11.6875","34.1953125","34.1953125","34.1953125","10.3359375","10.3359375","10.3359375","10.5234375","10.5234375","10.5234375","10.390625","10.390625","10.390625","10.5078125","10.5078125","10.5078125","10.4453125","10.4453125","10.4453125","10.578125","10.578125","10.578125"
"1","198.3515625","198.3515625","198.3515625","149.953125","149.953125","149.953125","125.2734375","125.2734375","125.2734375","194.71875","194.71875","194.71875","200","200","200","172.203125","172.203125","172.203125","194.8671875","194.8671875","194.8671875","200","200","200","181.8515625","181.8515625","181.8515625","200","200","200"
"2","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"3","200","200","200","200","200","200","200","200","200","200","200","200","199.8828125","199.8828125","199.8828125","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"4","200","200","200","200","200","200","200","200","200","200","200","200","199.9921875","199.9921875","199.9921875","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"5","200","200","200","200","200","200","200","200","200","200","200","200","199.6015625","199.6015625","199.6015625","199.921875","199.921875","199.921875","200","200","200","199.71875","199.71875","199.71875","199.984375","199.984375","199.984375","200","200","200"
"6","9.4921875","9.4921875","9.4921875","9.8203125","9.8203125","9.8203125","42.671875","42.671875","42.671875","200","200","200","11.671875","11.671875","11.671875","113.9453125","113.9453125","113.9453125","9.296875","9.296875","9.296875","9.3984375","9.3984375","9.3984375","11.5078125","11.5078125","11.5078125","197.5234375","197.5234375","197.5234375"
"7","9.40625","9.40625","9.40625","10.5859375","10.5859375","10.5859375","62.2421875","62.2421875","62.2421875","137.3984375","137.3984375","137.3984375","11.4765625","11.4765625","11.4765625","124.75","124.75","124.75","9.3203125","9.3203125","9.3203125","9.453125","9.453125","9.453125","11.484375","11.484375","11.484375","30.09375","30.09375","30.09375"
"8","9.265625","9.265625","9.265625","9.9375","9.9375","9.9375","99.546875","99.546875","99.546875","129.5703125","129.5703125","129.5703125","11.4921875","11.4921875","11.4921875","106.8984375","106.8984375","106.8984375","9.1953125","9.1953125","9.1953125","9.265625","9.265625","9.265625","11.5","11.5","11.5","200","200","200"
"9","9.375","9.375","9.375","12.0546875","12.0546875","12.0546875","73.84375","73.84375","73.84375","138.1953125","138.1953125","138.1953125","11.5390625","11.5390625","11.5390625","110.90625","110.90625","110.90625","9.2734375","9.2734375","9.2734375","9.375","9.375","9.375","11.5703125","11.5703125","11.5703125","200","200","200"
"10","9.421875","9.421875","9.421875","9.40625","9.40625","9.40625","75.265625","75.265625","75.265625","169.84375","169.84375","169.84375","11.6640625","11.6640625","11.6640625","100.9921875","100.9921875","100.9921875","9.28125","9.28125","9.28125","9.3515625","9.3515625","9.3515625","12.09375","12.09375","12.09375","200","200","200"
"11","40.3984375","40.3984375","40.3984375","43.3359375","43.3359375","43.3359375","24.3046875","24.3046875","24.3046875","14.625","14.625","14.625","11.3359375","11.3359375","11.3359375","9.359375","9.359375","9.359375","9.5625","9.5625","9.5625","124.5859375","124.5859375","124.5859375","9.3359375","9.3359375","9.3359375","11.5625","11.5625","11.5625"
"12","37.7109375","37.7109375","37.7109375","49.890625","49.890625","49.890625","22.5859375","22.5859375","22.5859375","16.2890625","16.2890625","16.2890625","11.2890625","11.2890625","11.2890625","9.4296875","9.4296875","9.4296875","9.4375","9.4375","9.4375","124.265625","124.265625","124.265625","9.4921875","9.4921875","9.4921875","11.578125","11.578125","11.578125"
"13","40.5078125","40.5078125","40.5078125","47.359375","47.359375","47.359375","24.7890625","24.7890625","24.7890625","13.6484375","13.6484375","13.6484375","11.515625","11.515625","11.515625","9.265625","9.265625","9.265625","9.484375","9.484375","9.484375","127.8203125","127.8203125","127.8203125","9.3359375","9.3359375","9.3359375","11.5703125","11.5703125","11.5703125"
