"Step","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_9_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_9_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_9_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_8_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_8_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_8_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_7_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_7_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_7_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_6_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_6_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_6_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_5_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_5_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_5_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_4_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_4_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_4_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_3_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_3_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_3_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_2_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_2_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_2_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_1_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_1_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_1_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_0_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_0_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","-170.3000030517578","-170.3000030517578","-170.3000030517578","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"3","-199","-199","-199","-188.65000915527344","-188.65000915527344","-188.65000915527344","-184.15000915527344","-184.15000915527344","-184.15000915527344","-199","-199","-199","-198","-198","-198","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"4","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-166.4499969482422","-166.4499969482422","-166.4499969482422"
"5","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-198.5500030517578","-198.5500030517578","-198.5500030517578","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"9","-199","-199","-199","-199","-199","-199","-165.10000610351562","-165.10000610351562","-165.10000610351562","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"11","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-193.9499969482422","-193.9499969482422","-193.9499969482422","-196.75","-196.75","-196.75","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"14","-199","-199","-199","-199","-199","-199","-159.85000610351562","-159.85000610351562","-159.85000610351562","-199","-199","-199","-199","-199","-199","-176.25","-176.25","-176.25","-199","-199","-199","-199","-199","-199","-199","-199","-199","-176.3000030517578","-176.3000030517578","-176.3000030517578"
"16","-199","-199","-199","-199","-199","-199","-199","-199","-199","-163.65000915527344","-163.65000915527344","-163.65000915527344","-198.6999969482422","-198.6999969482422","-198.6999969482422","-199","-199","-199","-182.60000610351562","-182.60000610351562","-182.60000610351562","-199","-199","-199","-199","-199","-199","-190.1999969482422","-190.1999969482422","-190.1999969482422"
"17","-199","-199","-199","-199","-199","-199","-191.75","-191.75","-191.75","-199","-199","-199","-198.4499969482422","-198.4499969482422","-198.4499969482422","-197.3000030517578","-197.3000030517578","-197.3000030517578","-180.90000915527344","-180.90000915527344","-180.90000915527344","-199","-199","-199","-199","-199","-199","-155.9499969482422","-155.9499969482422","-155.9499969482422"
"18","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-189.35000610351562","-189.35000610351562","-189.35000610351562"
"19","-199","-199","-199","-199","-199","-199","-168.25","-168.25","-168.25","-199","-199","-199","-199","-199","-199","-199","-199","-199","-162.6999969482422","-162.6999969482422","-162.6999969482422","-199","-199","-199","-199","-199","-199","-162","-162","-162"
"21","-193.90000915527344","-193.90000915527344","-193.90000915527344","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-186.15000915527344","-186.15000915527344","-186.15000915527344","-199","-199","-199","-176.5500030517578","-176.5500030517578","-176.5500030517578"
"25","-136.25","-136.25","-136.25","-199","-199","-199","-196.9499969482422","-196.9499969482422","-196.9499969482422","-199","-199","-199","-108.70000457763672","-108.70000457763672","-108.70000457763672","-199","-199","-199","-157.5500030517578","-157.5500030517578","-157.5500030517578","-199","-199","-199","-199","-199","-199","-197.85000610351562","-197.85000610351562","-197.85000610351562"
"26","-195.40000915527344","-195.40000915527344","-195.40000915527344","-199","-199","-199","-123.5999984741211","-123.5999984741211","-123.5999984741211","-199","-199","-199","-154.1999969482422","-154.1999969482422","-154.1999969482422","-199","-199","-199","-141.75","-141.75","-141.75","-199","-199","-199","-199","-199","-199","-184.4499969482422","-184.4499969482422","-184.4499969482422"
"27","-199","-199","-199","-199","-199","-199","-182","-182","-182","-199","-199","-199","-180.35000610351562","-180.35000610351562","-180.35000610351562","-182.9499969482422","-182.9499969482422","-182.9499969482422","-150.75","-150.75","-150.75","-199","-199","-199","-183.15000915527344","-183.15000915527344","-183.15000915527344","-145.40000915527344","-145.40000915527344","-145.40000915527344"
"33","-199","-199","-199","-199","-199","-199","-141.25","-141.25","-141.25","-197.15000915527344","-197.15000915527344","-197.15000915527344","-132.65000915527344","-132.65000915527344","-132.65000915527344","-199","-199","-199","-143.65000915527344","-143.65000915527344","-143.65000915527344","-199","-199","-199","-199","-199","-199","-145","-145","-145"
"34","-199","-199","-199","-199","-199","-199","-152","-152","-152","-141.3000030517578","-141.3000030517578","-141.3000030517578","-114.4000015258789","-114.4000015258789","-114.4000015258789","-199","-199","-199","-184.40000915527344","-184.40000915527344","-184.40000915527344","-199","-199","-199","-199","-199","-199","-143.5500030517578","-143.5500030517578","-143.5500030517578"
"35","-196","-196","-196","-199","-199","-199","-129.10000610351562","-129.10000610351562","-129.10000610351562","-199","-199","-199","-141.15000915527344","-141.15000915527344","-141.15000915527344","-161.85000610351562","-161.85000610351562","-161.85000610351562","-130.5500030517578","-130.5500030517578","-130.5500030517578","-199","-199","-199","-195.4499969482422","-195.4499969482422","-195.4499969482422","-126.45000457763672","-126.45000457763672","-126.45000457763672"
"36","-151.90000915527344","-151.90000915527344","-151.90000915527344","-199","-199","-199","-153.6999969482422","-153.6999969482422","-153.6999969482422","-199","-199","-199","-120","-120","-120","-198.5","-198.5","-198.5","-138.65000915527344","-138.65000915527344","-138.65000915527344","-199","-199","-199","-199","-199","-199","-140.90000915527344","-140.90000915527344","-140.90000915527344"
"39","-199","-199","-199","-192.4499969482422","-192.4499969482422","-192.4499969482422","-117.3499984741211","-117.3499984741211","-117.3499984741211","-199","-199","-199","-113.30000305175781","-113.30000305175781","-113.30000305175781","-161.15000915527344","-161.15000915527344","-161.15000915527344","-144.85000610351562","-144.85000610351562","-144.85000610351562","-199","-199","-199","-199","-199","-199","-135.1999969482422","-135.1999969482422","-135.1999969482422"
