eval_video/len_s/h4_thrust_aim,timing/sps,eval_video/return_s/h3_point_the_thruster,eval_avg/return_s/h5_rotate_fall,eval_video/len_s/h0_weak_thrust,eval_avg/solve_rate_s/h1_thrust_over_ball,episode_length,timing/num_updates,eval_video/len_s/h8_unicycle_balance,eval_avg/return_s/h8_unicycle_balance,eval_video/len_s/h6_unicycle_right,_step,media/eval_video_s/h3_point_the_thruster,media/eval_video_s/h7_unicycle_left,media/eval_video_s/h1_thrust_over_ball,media/eval_video_s/h2_one_wheel_car,media/eval_video_s/h6_unicycle_right,timing/sps_agg,eval_video/return_s/h1_thrust_over_ball,media/eval_video_s/h4_thrust_aim,eval_avg/solve_rate_s/h5_rotate_fall,media/eval_video_s/h0_weak_thrust,eval_avg/solve_rate_s/h7_unicycle_left,media/eval_video_s/h5_rotate_fall,eval/mean_eval_solve,media/eval_video_s/h9_explode_then_thrust_over,eval_video/return_s/h7_unicycle_left,media/eval_video_s/h8_unicycle_balance,eval_avg/solve_rate_s/h8_unicycle_balance,eval_video/return_s/h2_one_wheel_car,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/return_s/h4_thrust_aim,eval_avg/return_s/h2_one_wheel_car,eval_video/len_s/h3_point_the_thruster,eval_video/return_s/h6_unicycle_right,_runtime,eval_avg/return_s/h1_thrust_over_ball,eval_video/return_s/h8_unicycle_balance,timing/num_env_steps,eval_avg/return_s/h9_explode_then_thrust_over,num_completed_episodes,eval_avg/solve_rate_s/h4_thrust_aim,eval_video/return_s/h0_weak_thrust,eval_video/return_s/h5_rotate_fall,eval_video/len_s/h2_one_wheel_car,eval_avg/return_s/h4_thrust_aim,eval/mean_eval_return,eval_avg/return_s/h7_unicycle_left,eval_avg/return_s/h6_unicycle_right,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h3_point_the_thruster,episode_solved,eval_video/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h3_point_the_thruster,eval_video/len_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h0_weak_thrust,eval/mean_eval_eplen,_timestamp,eval_avg/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h6_unicycle_right,eval_video/len_s/h9_explode_then_thrust_over,eval_avg/solve_rate_s/h9_explode_then_thrust_over,episode_return,eval_video/len_s/h5_rotate_fall
24.0,10817.60306010484,-0.046648383140563965,0.2956817150115967,23.0,0.0,255.8165283203125,0,21.0,-0.2654978930950165,255.0,0,"{'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h3_point_the_thruster_0_0e07a942b6e840722e1c.gif', 'sha256': '0e07a942b6e840722e1c9327c71776a1689a410ad3d94183635640b4874feca5', 'size': 24078}","{'_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h7_unicycle_left_0_3398f3e48f0e77fd72f3.gif', 'sha256': '3398f3e48f0e77fd72f34c42e2e88f2d24441f1b79b7dc14e750a1be3d5b2162', 'size': 20203, 'width': 125}","{'path': 'media/videos/media/eval_video_s/h1_thrust_over_ball_0_c38063ae8837c73ec47d.gif', 'sha256': 'c38063ae8837c73ec47dbb3343cfd634977c2694be5fa60c2c64986a3e5bf183', 'size': 5211, 'width': 125, '_type': 'video-file', 'height': 125}","{'_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h2_one_wheel_car_0_8ca7d81ec6d2e33ea205.gif', 'sha256': '8ca7d81ec6d2e33ea2051bffcccd78d54c9ad4c7df1bc7bc972863f5fdd6fddd', 'size': 14581, 'width': 125}","{'_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h6_unicycle_right_0_8fad49bc2023885d6fca.gif', 'sha256': '8fad49bc2023885d6fcae6c733231a1005b6b065fd58263c7afce80e6828f790', 'size': 20183, 'width': 125}",0.0,-0.5397071838378906,"{'path': 'media/videos/media/eval_video_s/h4_thrust_aim_0_31ff6efeab9fca5ba694.gif', 'sha256': '31ff6efeab9fca5ba69404ab5cf62647f9f462a55473368579718c9a08959889', 'size': 4033, 'width': 125, '_type': 'video-file', 'height': 125}",0.25,"{'size': 5076, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h0_weak_thrust_0_46f2a1cb52c94e823475.gif', 'sha256': '46f2a1cb52c94e82347539d6e5dd1f125ccc28e1ee538696e7bb1110d23fd9a4'}",0.0,"{'sha256': 'fddf84203404391a247f5ae1f0e95718c0b7f4ea2a0297c0ae1e3203ee6eeeed', 'size': 3803, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h5_rotate_fall_0_fddf84203404391a247f.gif'}",0.055000003427267075,"{'height': 125, 'path': 'media/videos/media/eval_video_s/h9_explode_then_thrust_over_0_81050a55d7cf49d52a6d.gif', 'sha256': '81050a55d7cf49d52a6d59cc06a3848508f712e0018fba2feb5d725da6dc9398', 'size': 51005, 'width': 125, '_type': 'video-file'}",-0.17976433038711548,"{'size': 3905, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h8_unicycle_balance_0_0e08e33b11343fcce317.gif', 'sha256': '0e08e33b11343fcce3175cdfca2ad2ad69774661f28c03769f441398352f821a'}",0.15000000596046448,-0.04886362701654434,0.0,-0.3299311399459839,-0.05002586171030998,255.0,0.16407549381256104,214.0279966,-0.5540512204170227,-0.5168932676315308,0,-0.44767171144485474,6159,0.0,-0.7483974695205688,-0.20924293994903564,255.0,0.06900662928819656,-0.16583269834518433,-0.10238359123468399,0.06041496992111206,255.0,0.15000000596046448,0.003084916388615966,-0.6448535919189453,0.14636047184467316,20.0,0.0,160.53001403808594,1763156060.668053,-0.8101604580879211,0.0,255.0,0.0,0.06982545554637909,26.0
,36802.094343876895,,,,,255.855712890625,1,,,,1,,,,,,8360.195198983247,,,,,,,,,,,,,,,,,,263.801096904,,,2048000,,8199,,,,,,,,,,,0.0026832539588212967,,,,,,1763156110.422911,,,,,0.06657247245311737,
,41102.75990243365,,,,,255.8416290283203,2,,,,2,,,,,,13894.321327819069,,,,,,,,,,,,,,,,,,313.620803583,,,4096000,,8190,,,,,,,,,,,0.00231990241445601,,,,,,1763156160.2493486,,,,,0.06640036404132843,
,41063.15856826734,,,,,255.81336975097656,3,,,,3,,,,,,17825.690258074035,,,,,,,,,,,,,,,,,,363.497070244,,,6144000,,8193,,,,,,,,,,,0.002563163638114929,,,,,,1763156210.1238997,,,,,0.06822271645069122,
,41068.67762627336,,,,,255.93145751953125,4,,,,4,,,,,,20763.485275268016,,,,,,,,,,,,,,,,,,413.361455678,,,8192000,,8185,,,,,,,,,,,0.0008552229846827686,,,,,,1763156259.9913707,,,,,0.06732802093029022,
,41038.44212415753,,,,,255.8091583251953,5,,,,5,,,,,,23040.064444607746,,,,,,,,,,,,,,,,,,463.271661741,,,10240000,,8185,,,,,,,,,,,0.0029321929905563593,,,,,,1763156309.895658,,,,,0.0699322372674942,
,41028.83129391662,,,,,255.8767547607422,6,,,,6,,,,,,24856.414172150737,,,,,,,,,,,,,,,,,,513.179083734,,,12288000,,8187,,,,,,,,,,,0.0018321729730814695,,,,,,1763156359.812513,,,,,0.07068035751581192,
,41042.45981346399,,,,,255.78225708007812,7,,,,7,,,,,,26340.407066059473,,,,,,,,,,,,,,,,,,563.088770438,,,14336000,,8193,,,,,,,,,,,0.0035396069288253784,,,,,,1763156409.7113237,,,,,0.07445795089006424,
,41045.51507795064,,,,,255.8422393798828,8,,,,8,,,,,,27575.310306232208,,,,,,,,,,,,,,,,,,612.973965697,,,16384000,,8190,,,,,,,,,,,0.0025641026441007853,,,,,,1763156459.6084325,,,,,0.0668286681175232,
,41043.68331589999,,,,,255.8323974609375,9,,,,9,,,,,,28618.773951460476,,,,,,,,,,,,,,,,,,662.876385391,,,18432000,,8192,,,,,,,,,,,0.002685546875,,,,,,1763156509.5055463,,,,,0.07141204178333282,
