eval_video/len_s/h4_thrust_aim,timing/sps,eval_video/return_s/h3_point_the_thruster,eval_avg/return_s/h5_rotate_fall,eval_video/len_s/h0_weak_thrust,eval_avg/solve_rate_s/h1_thrust_over_ball,episode_length,timing/num_updates,eval_video/len_s/h8_unicycle_balance,eval_avg/return_s/h8_unicycle_balance,eval_video/len_s/h6_unicycle_right,_step,media/eval_video_s/h3_point_the_thruster,media/eval_video_s/h7_unicycle_left,media/eval_video_s/h1_thrust_over_ball,media/eval_video_s/h2_one_wheel_car,media/eval_video_s/h6_unicycle_right,timing/sps_agg,eval_video/return_s/h1_thrust_over_ball,media/eval_video_s/h4_thrust_aim,eval_avg/solve_rate_s/h5_rotate_fall,media/eval_video_s/h0_weak_thrust,eval_avg/solve_rate_s/h7_unicycle_left,media/eval_video_s/h5_rotate_fall,eval/mean_eval_solve,media/eval_video_s/h9_explode_then_thrust_over,eval_video/return_s/h7_unicycle_left,media/eval_video_s/h8_unicycle_balance,eval_avg/solve_rate_s/h8_unicycle_balance,eval_video/return_s/h2_one_wheel_car,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/return_s/h4_thrust_aim,eval_avg/return_s/h2_one_wheel_car,eval_video/len_s/h3_point_the_thruster,eval_video/return_s/h6_unicycle_right,_runtime,eval_avg/return_s/h1_thrust_over_ball,eval_video/return_s/h8_unicycle_balance,timing/num_env_steps,eval_avg/return_s/h9_explode_then_thrust_over,num_completed_episodes,eval_avg/solve_rate_s/h4_thrust_aim,eval_video/return_s/h0_weak_thrust,eval_video/return_s/h5_rotate_fall,eval_video/len_s/h2_one_wheel_car,eval_avg/return_s/h4_thrust_aim,eval/mean_eval_return,eval_avg/return_s/h7_unicycle_left,eval_avg/return_s/h6_unicycle_right,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h3_point_the_thruster,episode_solved,eval_video/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h3_point_the_thruster,eval_video/len_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h0_weak_thrust,eval/mean_eval_eplen,_timestamp,eval_avg/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h6_unicycle_right,eval_video/len_s/h9_explode_then_thrust_over,eval_avg/solve_rate_s/h9_explode_then_thrust_over,episode_return,eval_video/len_s/h5_rotate_fall
24.0,10724.11718448182,-0.046648383140563965,0.2956817150115967,23.0,0.0,248.11087036132812,0,21.0,-0.2654978930950165,255.0,0,"{'size': 24078, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h3_point_the_thruster_0_0e07a942b6e840722e1c.gif', 'sha256': '0e07a942b6e840722e1c9327c71776a1689a410ad3d94183635640b4874feca5'}","{'size': 20203, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h7_unicycle_left_0_3398f3e48f0e77fd72f3.gif', 'sha256': '3398f3e48f0e77fd72f34c42e2e88f2d24441f1b79b7dc14e750a1be3d5b2162'}","{'size': 5211, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h1_thrust_over_ball_0_c38063ae8837c73ec47d.gif', 'sha256': 'c38063ae8837c73ec47dbb3343cfd634977c2694be5fa60c2c64986a3e5bf183'}","{'_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h2_one_wheel_car_0_f3c5b93d996b1eaafd88.gif', 'sha256': 'f3c5b93d996b1eaafd884004af174e35e6766963c06351a1996100447e25836b', 'size': 14582, 'width': 125}","{'path': 'media/videos/media/eval_video_s/h6_unicycle_right_0_8fad49bc2023885d6fca.gif', 'sha256': '8fad49bc2023885d6fcae6c733231a1005b6b065fd58263c7afce80e6828f790', 'size': 20183, 'width': 125, '_type': 'video-file', 'height': 125}",0.0,-0.5397071838378906,"{'_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h4_thrust_aim_0_31ff6efeab9fca5ba694.gif', 'sha256': '31ff6efeab9fca5ba69404ab5cf62647f9f462a55473368579718c9a08959889', 'size': 4033, 'width': 125}",0.25,"{'sha256': '46f2a1cb52c94e82347539d6e5dd1f125ccc28e1ee538696e7bb1110d23fd9a4', 'size': 5076, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h0_weak_thrust_0_46f2a1cb52c94e823475.gif'}",0.0,"{'height': 125, 'path': 'media/videos/media/eval_video_s/h5_rotate_fall_0_fddf84203404391a247f.gif', 'sha256': 'fddf84203404391a247f5ae1f0e95718c0b7f4ea2a0297c0ae1e3203ee6eeeed', 'size': 3803, 'width': 125, '_type': 'video-file'}",0.055000003427267075,"{'_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h9_explode_then_thrust_over_0_81050a55d7cf49d52a6d.gif', 'sha256': '81050a55d7cf49d52a6d59cc06a3848508f712e0018fba2feb5d725da6dc9398', 'size': 51005, 'width': 125}",-0.17976433038711548,"{'size': 3905, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h8_unicycle_balance_0_0e08e33b11343fcce317.gif', 'sha256': '0e08e33b11343fcce3175cdfca2ad2ad69774661f28c03769f441398352f821a'}",0.15000000596046448,-0.048863813281059265,0.0,-0.3299311399459839,-0.05002591758966446,255.0,0.16407549381256104,215.614745302,-0.5540512204170227,-0.5168932676315308,0,-0.4476778507232666,6476,0.0,-0.7483974695205688,-0.20924293994903564,255.0,0.06900661438703537,-0.16583333909511566,-0.10238359123468399,0.06041496992111206,255.0,0.15000000596046448,0.028567016124725342,-0.6448535919189453,0.14636047184467316,20.0,0.0,160.53001403808594,1763153393.8657653,-0.8101604580879211,0.0,255.0,0.0,-0.0525812953710556,26.0
,36975.3860513663,,,,,250.57078552246094,1,,,,1,,,,,,8313.039121567415,,,,,,,,,,,,,,,,,,265.100923769,,,2048000,,8392,,,,,,,,,,,0.02085319347679615,,,,,,1763153443.3434565,,,,,-0.05611659586429596,
,41299.992462573784,,,,,250.1089324951172,2,,,,2,,,,,,13840.252937559258,,,,,,,,,,,,,,,,,,314.686717421,,,4096000,,8345,,,,,,,,,,,0.021809466183185577,,,,,,1763153492.9320529,,,,,-0.05466890335083008,
,41245.19387559041,,,,,250.7702178955078,3,,,,3,,,,,,17777.64307230128,,,,,,,,,,,,,,,,,,364.341649969,,,6144000,,8308,,,,,,,,,,,0.02178622968494892,,,,,,1763153542.586286,,,,,-0.051043856889009476,
,41176.15620674883,,,,,250.4439239501953,4,,,,4,,,,,,20721.396954878037,,,,,,,,,,,,,,,,,,414.079373387,,,8192000,,8310,,,,,,,,,,,0.02274368144571781,,,,,,1763153592.3274853,,,,,-0.05171511694788933,
,41134.69484080467,,,,,250.34783935546875,5,,,,5,,,,,,23004.629417780205,,,,,,,,,,,,,,,,,,463.867188317,,,10240000,,8317,,,,,,,,,,,0.02104124054312706,,,,,,1763153642.1116269,,,,,-0.054308388382196426,
,41179.76303842962,,,,,250.35679626464844,6,,,,6,,,,,,24831.21710532758,,,,,,,,,,,,,,,,,,513.597067115,,,12288000,,8324,,,,,,,,,,,0.024627583101391792,,,,,,1763153691.8460798,,,,,-0.04942866042256355,
,41126.93146994518,,,,,249.95327758789062,7,,,,7,,,,,,26321.103480985,,,,,,,,,,,,,,,,,,563.396509011,,,14336000,,8282,,,,,,,,,,,0.02245834283530712,,,,,,1763153741.6418047,,,,,-0.05434998497366905,
,41059.22592751072,,,,,249.95135498046875,8,,,,8,,,,,,27557.569922674997,,,,,,,,,,,,,,,,,,613.274138845,,,16384000,,8222,,,,,,,,,,,0.020432984456419945,,,,,,1763153791.5207677,,,,,-0.058919258415699005,
,41186.71061489969,,,,,249.82960510253906,9,,,,9,,,,,,28609.480516794858,,,,,,,,,,,,,,,,,,662.997914617,,,18432000,,7993,,,,,,,,,,,0.02239459566771984,,,,,,1763153841.245451,,,,,-0.05460168421268463,
