eval_video/return_s/h6_unicycle_right,_step,eval_avg/solve_rate_s/h9_explode_then_thrust_over,eval_avg/return_s/h0_weak_thrust,_runtime,eval_avg/solve_rate_s/h5_rotate_fall,eval_avg/return_s/h6_unicycle_right,episode_solved,eval_video/len_s/h4_thrust_aim,eval_avg/solve_rate_s/h7_unicycle_left,media/eval_video_s/h2_one_wheel_car,media/eval_video_s/h4_thrust_aim,eval_video/return_s/h3_point_the_thruster,num_completed_episodes,eval_video/len_s/h1_thrust_over_ball,timing/sps,eval_video/len_s/h6_unicycle_right,episode_length,eval_video/return_s/h0_weak_thrust,media/eval_video_s/h0_weak_thrust,eval_avg/solve_rate_s/h0_weak_thrust,media/eval_video_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h1_thrust_over_ball,eval_video/len_s/h0_weak_thrust,eval_avg/return_s/h5_rotate_fall,eval/mean_eval_return,eval_video/return_s/h4_thrust_aim,media/eval_video_s/h7_unicycle_left,media/eval_video_s/h8_unicycle_balance,timing/num_updates,eval_avg/solve_rate_s/h6_unicycle_right,eval_video/return_s/h7_unicycle_left,eval_avg/return_s/h2_one_wheel_car,eval_avg/return_s/h4_thrust_aim,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h2_one_wheel_car,media/eval_video_s/h9_explode_then_thrust_over,timing/num_env_steps,media/eval_video_s/h5_rotate_fall,eval_avg/return_s/h1_thrust_over_ball,eval_video/return_s/h1_thrust_over_ball,eval_video/len_s/h5_rotate_fall,eval_video/return_s/h5_rotate_fall,media/eval_video_s/h6_unicycle_right,eval_avg/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h8_unicycle_balance,eval/mean_eval_eplen,eval_avg/solve_rate_s/h4_thrust_aim,_timestamp,eval_video/len_s/h9_explode_then_thrust_over,eval_video/len_s/h2_one_wheel_car,eval_avg/solve_rate_s/h8_unicycle_balance,timing/sps_agg,eval_avg/return_s/h7_unicycle_left,eval_video/len_s/h8_unicycle_balance,eval/mean_eval_solve,episode_return,eval_avg/solve_rate_s/h3_point_the_thruster,media/eval_video_s/h3_point_the_thruster,eval_video/len_s/h3_point_the_thruster,eval_video/return_s/h9_explode_then_thrust_over,eval_video/return_s/h2_one_wheel_car,eval_avg/return_s/h3_point_the_thruster,eval_video/return_s/h8_unicycle_balance
0.16407549381256104,0,0.0,-0.8101604580879211,212.075229479,0.25,0.06041496992111206,0.0009632364963181317,24.0,0.0,"{'size': 14581, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '8ca7d81ec6d2e33ea2051bffcccd78d54c9ad4c7df1bc7bc972863f5fdd6fddd', 'path': 'media/videos/media/eval_video_s/h2_one_wheel_car_0_8ca7d81ec6d2e33ea205.gif'}","{'size': 4033, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '31ff6efeab9fca5ba69404ab5cf62647f9f462a55473368579718c9a08959889', 'path': 'media/videos/media/eval_video_s/h4_thrust_aim_0_31ff6efeab9fca5ba694.gif'}",-0.046648383140563965,6229,20.0,10900.583266353455,255.0,252.78294372558594,-0.7483974695205688,"{'path': 'media/videos/media/eval_video_s/h0_weak_thrust_0_46f2a1cb52c94e823475.gif', 'size': 5076, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '46f2a1cb52c94e82347539d6e5dd1f125ccc28e1ee538696e7bb1110d23fd9a4'}",0.0,"{'width': 125, 'height': 125, 'sha256': 'c38063ae8837c73ec47dbb3343cfd634977c2694be5fa60c2c64986a3e5bf183', 'path': 'media/videos/media/eval_video_s/h1_thrust_over_ball_0_c38063ae8837c73ec47d.gif', 'size': 5211, '_type': 'video-file'}",0.0,23.0,0.2956817150115967,-0.16583147644996643,-0.3299311399459839,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '3398f3e48f0e77fd72f34c42e2e88f2d24441f1b79b7dc14e750a1be3d5b2162', 'path': 'media/videos/media/eval_video_s/h7_unicycle_left_0_3398f3e48f0e77fd72f3.gif', 'size': 20203}","{'width': 125, 'height': 125, 'sha256': '0e08e33b11343fcce3175cdfca2ad2ad69774661f28c03769f441398352f821a', 'path': 'media/videos/media/eval_video_s/h8_unicycle_balance_0_0e08e33b11343fcce317.gif', 'size': 3905, '_type': 'video-file'}",0,0.0,-0.17976433038711548,-0.05002592131495476,0.06900660693645477,255.0,0.0,"{'size': 51005, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '81050a55d7cf49d52a6d59cc06a3848508f712e0018fba2feb5d725da6dc9398', 'path': 'media/videos/media/eval_video_s/h9_explode_then_thrust_over_0_81050a55d7cf49d52a6d.gif'}",0.0,"{'sha256': 'fddf84203404391a247f5ae1f0e95718c0b7f4ea2a0297c0ae1e3203ee6eeeed', 'path': 'media/videos/media/eval_video_s/h5_rotate_fall_0_fddf84203404391a247f.gif', 'size': 3803, '_type': 'video-file', 'width': 125, 'height': 125}",-0.5540512204170227,-0.5397071838378906,26.0,-0.20924293994903564,"{'width': 125, 'height': 125, 'sha256': '8fad49bc2023885d6fcae6c733231a1005b6b065fd58263c7afce80e6828f790', 'path': 'media/videos/media/eval_video_s/h6_unicycle_right_0_8fad49bc2023885d6fca.gif', 'size': 20183, '_type': 'video-file'}",-0.44765931367874146,-0.2654978930950165,160.53001403808594,0.0,1763169340.0402765,255.0,255.0,0.15000000596046448,0.0,-0.10238359123468399,21.0,0.055000003427267075,-0.00602486077696085,0.15000000596046448,"{'width': 125, 'height': 125, 'sha256': '0e07a942b6e840722e1c9327c71776a1689a410ad3d94183635640b4874feca5', 'path': 'media/videos/media/eval_video_s/h3_point_the_thruster_0_0e07a942b6e840722e1c.gif', 'size': 24078, '_type': 'video-file'}",255.0,-0.6448535919189453,-0.04886362701654434,0.14636047184467316,-0.5168932676315308
,1,,,261.390305706,,,0.0008445946150459349,,,,,,8288,,37399.34842002028,,253.26942443847656,,,,,,,,,,,,1,,,,,,,,2048000.0,,,,,,,,,,,1763169389.3429952,,,,8440.471159177318,,,,-0.0031557532493025064,,,,,,,
,2,,,310.748160955,,,0.0008447984582744539,,,,,,8286,,41484.98439556268,,253.32440185546875,,,,,,,,,,,,2,,,,,,,,4096000.0,,,,,,,,,,,1763169438.7103665,,,,14027.025309593748,,,,-0.0016997846541926265,,,,,,,
,3,,,360.162574435,,,0.00048239267198368907,,,,,,8292,,41449.065099808664,,253.1566619873047,,,,,,,,,,,,3,,,,,,,,6144000.0,,,,,,,,,,,1763169488.1202662,,,,17995.54766230204,,,,-0.003934528678655624,,,,,,,
,4,,,409.61500538,,,0.0004822763439733535,,,,,,8294,,41410.91180531883,,253.09934997558594,,,,,,,,,,,,4,,,,,,,,8192000.0,,,,,,,,,,,1763169537.5761318,,,,20958.195402582813,,,,-0.0042953453958034515,,,,,,,
,5,,,459.090927631,,,0.0009637392940931022,,,,,,8301,,41394.82177581591,,252.9053192138672,,,,,,,,,,,,5,,,,,,,,10240000.0,,,,,,,,,,,1763169587.0505037,,,,23254.328078686514,,,,-0.004238975699990988,,,,,,,
,6,,,508.562348629,,,0.0006034274701960385,,,,,,8286,,41395.83157476012,,253.3238067626953,,,,,,,,,,,,6,,,,,,,,12288000.0,,,,,,,,,,,1763169636.5242207,,,,25086.678713491194,,,,-0.0018029683269560337,,,,,,,
,7,,,558.038651134,,,0.0003625377721618861,,,,,,8275,,41397.62966548393,,253.63323974609375,,,,,,,,,,,,7,,,,,,,,14336000.0,,,,,,,,,,,1763169685.9956996,,,,26582.944885859208,,,,-0.0006306215655058622,,,,,,,
,8,,,607.507715305,,,0.00036509675555862486,,,,,,8217,,41394.882019254444,,253.27381896972656,,,,,,,,,,,,8,,,,,,,,16384000.0,,,,,,,,,,,1763169735.4705908,,,,27827.605844646594,,,,-0.0039042073767632246,,,,,,,
,9,,,656.973785373,,,0.000395152805140242,,,,,,7592,,41404.992434132,,253.70285034179688,,,,,,,,,,,,9,,,,,,,,18432000.0,,,,,,,,,,,1763169784.9327264,,,,28879.848430587605,,,,-0.002514522522687912,,,,,,,
