eval_video/len_s/h1_thrust_over_ball,_step,eval_avg/solve_rate_s/h3_point_the_thruster,timing/num_updates,eval_video/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h6_unicycle_right,eval_video/len_s/h9_explode_then_thrust_over,media/eval_video_s/h2_one_wheel_car,media/eval_video_s/h5_rotate_fall,eval_avg/return_s/h9_explode_then_thrust_over,media/eval_video_s/h7_unicycle_left,eval_video/len_s/h8_unicycle_balance,eval_avg/return_s/h4_thrust_aim,episode_length,_timestamp,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/len_s/h3_point_the_thruster,eval_avg/solve_rate_s/h5_rotate_fall,media/eval_video_s/h8_unicycle_balance,eval_video/len_s/h5_rotate_fall,eval/mean_eval_eplen,eval_avg/solve_rate_s/h8_unicycle_balance,eval_video/return_s/h2_one_wheel_car,media/eval_video_s/h1_thrust_over_ball,timing/sps_agg,eval/mean_eval_return,eval_avg/return_s/h7_unicycle_left,num_completed_episodes,eval_avg/return_s/h1_thrust_over_ball,eval_video/len_s/h4_thrust_aim,eval_video/len_s/h6_unicycle_right,eval_video/return_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h7_unicycle_left,media/eval_video_s/h9_explode_then_thrust_over,eval_avg/return_s/h5_rotate_fall,media/eval_video_s/h0_weak_thrust,episode_solved,eval_video/return_s/h9_explode_then_thrust_over,eval_video/return_s/h8_unicycle_balance,eval_avg/solve_rate_s/h0_weak_thrust,episode_return,eval_video/return_s/h6_unicycle_right,eval_avg/return_s/h3_point_the_thruster,eval_video/len_s/h2_one_wheel_car,eval_video/return_s/h4_thrust_aim,media/eval_video_s/h6_unicycle_right,eval_avg/solve_rate_s/h4_thrust_aim,eval_avg/return_s/h2_one_wheel_car,eval_video/len_s/h0_weak_thrust,eval_video/return_s/h5_rotate_fall,eval_avg/return_s/h8_unicycle_balance,_runtime,eval/mean_eval_solve,media/eval_video_s/h3_point_the_thruster,eval_avg/return_s/h6_unicycle_right,eval_avg/return_s/h0_weak_thrust,eval_video/return_s/h7_unicycle_left,timing/sps,timing/num_env_steps,eval_avg/solve_rate_s/h1_thrust_over_ball,media/eval_video_s/h4_thrust_aim,eval_video/return_s/h3_point_the_thruster,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h9_explode_then_thrust_over
20.0,0,0.15000000596046448,0,-0.7483974695205688,0.0,255.0,"{'sha256': '8ca7d81ec6d2e33ea2051bffcccd78d54c9ad4c7df1bc7bc972863f5fdd6fddd', 'path': 'media/videos/media/eval_video_s/h2_one_wheel_car_0_8ca7d81ec6d2e33ea205.gif', 'size': 14581, '_type': 'video-file', 'width': 125, 'height': 125}","{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': 'fddf84203404391a247f5ae1f0e95718c0b7f4ea2a0297c0ae1e3203ee6eeeed', 'path': 'media/videos/media/eval_video_s/h5_rotate_fall_0_fddf84203404391a247f.gif', 'size': 3803}",-0.4476679265499115,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '3398f3e48f0e77fd72f34c42e2e88f2d24441f1b79b7dc14e750a1be3d5b2162', 'path': 'media/videos/media/eval_video_s/h7_unicycle_left_0_3398f3e48f0e77fd72f3.gif', 'size': 20203}",21.0,0.06900661438703537,252.74591064453125,1763166707.4725924,0.0,255.0,0.25,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '0e08e33b11343fcce3175cdfca2ad2ad69774661f28c03769f441398352f821a', 'path': 'media/videos/media/eval_video_s/h8_unicycle_balance_0_0e08e33b11343fcce317.gif', 'size': 3905}",26.0,160.53001403808594,0.15000000596046448,-0.04886362701654434,"{'height': 125, 'sha256': 'c38063ae8837c73ec47dbb3343cfd634977c2694be5fa60c2c64986a3e5bf183', 'path': 'media/videos/media/eval_video_s/h1_thrust_over_ball_0_c38063ae8837c73ec47d.gif', 'size': 5211, '_type': 'video-file', 'width': 125}",0.0,-0.16583232581615448,-0.10238359123468399,6230,-0.5540512204170227,24.0,255.0,-0.5397071838378906,0.0,"{'path': 'media/videos/media/eval_video_s/h9_explode_then_thrust_over_0_81050a55d7cf49d52a6d.gif', 'size': 51005, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '81050a55d7cf49d52a6d59cc06a3848508f712e0018fba2feb5d725da6dc9398'}",0.2956817150115967,"{'size': 5076, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '46f2a1cb52c94e82347539d6e5dd1f125ccc28e1ee538696e7bb1110d23fd9a4', 'path': 'media/videos/media/eval_video_s/h0_weak_thrust_0_46f2a1cb52c94e823475.gif'}",0.012841091491281986,-0.6448535919189453,-0.5168932676315308,0.0,0.026765208691358566,0.16407549381256104,0.14636047184467316,255.0,-0.3299311399459839,"{'width': 125, 'height': 125, 'sha256': '8fad49bc2023885d6fcae6c733231a1005b6b065fd58263c7afce80e6828f790', 'path': 'media/videos/media/eval_video_s/h6_unicycle_right_0_8fad49bc2023885d6fca.gif', 'size': 20183, '_type': 'video-file'}",0.0,-0.05002589151263237,23.0,-0.20924293994903564,-0.2654978930950165,213.1434003,0.055000003427267075,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '0e07a942b6e840722e1c9327c71776a1689a410ad3d94183635640b4874feca5', 'path': 'media/videos/media/eval_video_s/h3_point_the_thruster_0_0e07a942b6e840722e1c.gif', 'size': 24078}",0.06041496992111206,-0.8101604580879211,-0.17976433038711548,10857.653904241668,0.0,0.0,"{'path': 'media/videos/media/eval_video_s/h4_thrust_aim_0_31ff6efeab9fca5ba694.gif', 'size': 4033, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '31ff6efeab9fca5ba69404ab5cf62647f9f462a55473368579718c9a08959889'}",-0.046648383140563965,255.0,0.0
,1,,1,,,,,,,,,,253.26942443847656,1763166756.5294995,,,,,,,,,,8424.059477906025,,,8288,,,,,,,,,0.010738416574895382,,,,0.023704588413238525,,,,,,,,,,,262.206512038,,,,,,37584.73866322764,2048000.0,,,,,
,2,,2,,,,,,,,,,253.32415771484375,1763166805.5250685,,,,,,,,,,14022.082710433138,,,8286,,,,,,,,,0.010499637573957443,,,,0.022305719554424286,,,,,,,,,,,311.204120833,,,,,,41798.06927457463,4096000.0,,,,,
,3,,3,,,,,,,,,,253.1566619873047,1763166854.6400187,,,,,,,,,,18005.66634878959,,,8292,,,,,,,,,0.01157742366194725,,,,0.024471979588270187,,,,,,,,,,,360.315932809,,,,,,41697.847899432105,6144000.0,,,,,
,4,,4,,,,,,,,,,253.09934997558594,1763166903.6894422,,,,,,,,,,20990.335021945335,,,8294,,,,,,,,,0.011815770529210567,,,,0.025737011805176735,,,,,,,,,,,409.366704607,,,,,,41754.21471905315,8192000.0,,,,,
,5,,5,,,,,,,,,,252.9053192138672,1763166952.8144896,,,,,,,,,,23304.559400683036,,,8301,,,,,,,,,0.012167208828032017,,,,0.025644034147262573,,,,,,,,,,,458.489886058,,,,,,41690.29826660418,10240000.0,,,,,
,6,,6,,,,,,,,,,253.3238067626953,1763167001.9458473,,,,,,,,,,25152.952922034227,,,8286,,,,,,,,,0.010741009376943111,,,,0.02216050773859024,,,,,,,,,,,507.624604491,,,,,,41683.53131940236,12288000.0,,,,,
,7,,7,,,,,,,,,,253.63323974609375,1763167051.0724516,,,,,,,,,,26663.795987924696,,,8275,,,,,,,,,0.009667674079537392,,,,0.020204786211252213,,,,,,,,,,,556.75631849,,,,,,41688.06577481481,14336000.0,,,,,
,8,,8,,,,,,,,,,253.27381896972656,1763167100.1549706,,,,,,,,,,27923.741519530784,,,8217,,,,,,,,,0.011196300387382507,,,,0.024403579533100128,,,,,,,,,,,605.834110076,,,,,,41725.26062529709,16384000.0,,,,,
,9,,9,,,,,,,,,,253.70254516601562,1763167149.2921991,,,,,,,,,,28986.70868486372,,,7591,,,,,,,,,0.009353181347250938,,,,0.021624183282256126,,,,,,,,,,,654.969783463,,,,,,41679.56672988989,18432000.0,,,,,
