eval_avg/return_s/h0_weak_thrust,eval_video/len_s/h9_explode_then_thrust_over,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h9_explode_then_thrust_over,media/eval_video_s/h5_rotate_fall,eval_video/len_s/h6_unicycle_right,eval_video/len_s/h5_rotate_fall,eval_video/len_s/h4_thrust_aim,eval_video/len_s/h3_point_the_thruster,eval_avg/solve_rate_s/h0_weak_thrust,eval_video/return_s/h3_point_the_thruster,media/eval_video_s/h8_unicycle_balance,eval_avg/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h1_thrust_over_ball,eval_video/len_s/h1_thrust_over_ball,eval_video/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h3_point_the_thruster,timing/num_updates,eval_avg/solve_rate_s/h6_unicycle_right,eval_avg/solve_rate_s/h7_unicycle_left,timing/sps_agg,eval/mean_eval_solve,eval_video/return_s/h2_one_wheel_car,media/eval_video_s/h0_weak_thrust,eval_video/return_s/h6_unicycle_right,media/eval_video_s/h1_thrust_over_ball,eval_video/return_s/h8_unicycle_balance,media/eval_video_s/h7_unicycle_left,eval_video/len_s/h0_weak_thrust,num_completed_episodes,eval_avg/return_s/h4_thrust_aim,eval_avg/return_s/h7_unicycle_left,timing/sps,eval_avg/return_s/h3_point_the_thruster,_timestamp,timing/num_env_steps,episode_return,media/eval_video_s/h2_one_wheel_car,media/eval_video_s/h6_unicycle_right,media/eval_video_s/h9_explode_then_thrust_over,eval_video/return_s/h5_rotate_fall,eval_avg/solve_rate_s/h4_thrust_aim,eval_avg/return_s/h2_one_wheel_car,_step,eval_avg/solve_rate_s/h8_unicycle_balance,eval_video/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h5_rotate_fall,eval/mean_eval_eplen,eval_video/len_s/h8_unicycle_balance,eval/mean_eval_return,eval_avg/return_s/h6_unicycle_right,_runtime,eval_video/return_s/h1_thrust_over_ball,eval_video/len_s/h2_one_wheel_car,eval_avg/solve_rate_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h5_rotate_fall,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/return_s/h7_unicycle_left,episode_solved,eval_video/return_s/h4_thrust_aim,media/eval_video_s/h3_point_the_thruster,media/eval_video_s/h4_thrust_aim,episode_length,eval_avg/return_s/h8_unicycle_balance
-0.8101604580879211,255.0,255.0,0.0,"{'width': 125, 'height': 125, 'sha256': 'fddf84203404391a247f5ae1f0e95718c0b7f4ea2a0297c0ae1e3203ee6eeeed', 'path': 'media/videos/media/eval_video_s/h5_rotate_fall_0_fddf84203404391a247f.gif', 'size': 3803, '_type': 'video-file'}",255.0,26.0,24.0,255.0,0.0,-0.046648383140563965,"{'height': 125, 'sha256': '0e08e33b11343fcce3175cdfca2ad2ad69774661f28c03769f441398352f821a', 'path': 'media/videos/media/eval_video_s/h8_unicycle_balance_0_0e08e33b11343fcce317.gif', 'size': 3905, '_type': 'video-file', 'width': 125}",-0.447670042514801,-0.5540512204170227,20.0,-0.7483974695205688,0.15000000596046448,0,0.0,0.0,0.0,0.055000003427267075,-0.048863813281059265,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '46f2a1cb52c94e82347539d6e5dd1f125ccc28e1ee538696e7bb1110d23fd9a4', 'path': 'media/videos/media/eval_video_s/h0_weak_thrust_0_46f2a1cb52c94e823475.gif', 'size': 5076}",0.16407549381256104,"{'height': 125, 'sha256': 'c38063ae8837c73ec47dbb3343cfd634977c2694be5fa60c2c64986a3e5bf183', 'path': 'media/videos/media/eval_video_s/h1_thrust_over_ball_0_c38063ae8837c73ec47d.gif', 'size': 5211, '_type': 'video-file', 'width': 125}",-0.5168932676315308,"{'height': 125, 'sha256': '3398f3e48f0e77fd72f34c42e2e88f2d24441f1b79b7dc14e750a1be3d5b2162', 'path': 'media/videos/media/eval_video_s/h7_unicycle_left_0_3398f3e48f0e77fd72f3.gif', 'size': 20203, '_type': 'video-file', 'width': 125}",23.0,7239,0.06900660693645477,-0.10238359123468399,10745.536667567318,0.14636047184467316,1763185233.6314535,0.0,0.8605400323867798,"{'path': 'media/videos/media/eval_video_s/h2_one_wheel_car_0_f3c5b93d996b1eaafd88.gif', 'size': 14582, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': 'f3c5b93d996b1eaafd884004af174e35e6766963c06351a1996100447e25836b'}","{'path': 'media/videos/media/eval_video_s/h6_unicycle_right_0_8fad49bc2023885d6fca.gif', 'size': 20183, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '8fad49bc2023885d6fcae6c733231a1005b6b065fd58263c7afce80e6828f790'}","{'width': 125, 'height': 125, 'sha256': '81050a55d7cf49d52a6d59cc06a3848508f712e0018fba2feb5d725da6dc9398', 'path': 'media/videos/media/eval_video_s/h9_explode_then_thrust_over_0_81050a55d7cf49d52a6d.gif', 'size': 51005, '_type': 'video-file'}",-0.20924293994903564,0.0,-0.05002593994140625,0,0.15000000596046448,-0.6448535919189453,0.2956817150115967,160.53001403808594,21.0,-0.1658325493335724,0.06041496992111206,214.570083968,-0.5397071838378906,255.0,0.0,0.25,0.0,-0.17976433038711548,0.19160105288028717,-0.3299311399459839,"{'path': 'media/videos/media/eval_video_s/h3_point_the_thruster_0_0e07a942b6e840722e1c.gif', 'size': 24078, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '0e07a942b6e840722e1c9327c71776a1689a410ad3d94183635640b4874feca5'}","{'height': 125, 'sha256': '31ff6efeab9fca5ba69404ab5cf62647f9f462a55473368579718c9a08959889', 'path': 'media/videos/media/eval_video_s/h4_thrust_aim_0_31ff6efeab9fca5ba694.gif', 'size': 4033, '_type': 'video-file', 'width': 125}",234.08233642578125,-0.2654978930950165
,,,,,,,,,,,,,,,,,1,,,8360.32070792597,,,,,,,,,8836,,,37663.94471343312,,1763185282.7507088,2048000.0,0.8054813742637634,,,,,,,1,,,,,,,,263.695462438,,,,,,,0.15391579270362854,,,,239.28768920898438,
,,,,,,,,,,,,,,,,,2,,,13925.109232614523,,,,,,,,,8655,,,41644.44243411923,,1763185331.9288852,4096000.0,0.8081521391868591,,,,,,,2,,,,,,,,312.872023821,,,,,,,0.15551704168319702,,,,238.60519409179688,
,,,,,,,,,,,,,,,,,3,,,17893.195448832957,,,,,,,,,8588,,,41604.162718519416,,1763185381.1550167,6144000.0,0.8006624579429626,,,,,,,3,,,,,,,,362.097075637,,,,,,,0.15090824663639069,,,,239.6118927001953,
,,,,,,,,,,,,,,,,,4,,,20862.971781294556,,,,,,,,,8622,,,41552.84740079978,,1763185430.4417741,8192000.0,0.8217421174049377,,,,,,,4,,,,,,,,411.382396064,,,,,,,0.16539086401462555,,,,238.2464599609375,
,,,,,,,,,,,,,,,,,5,,,23170.645625597957,,,,,,,,,8593,,,41557.51712292806,,1763185479.722322,10240000.0,0.8181655406951904,,,,,,,5,,,,,,,,460.666978107,,,,,,,0.16315606236457825,,,,238.37135314941406,
,,,,,,,,,,,,,,,,,6,,,25014.920551272065,,,,,,,,,8578,,,41551.40864072524,,1763185529.010866,12288000.0,0.808355987071991,,,,,,,6,,,,,,,,509.954155853,,,,,,,0.1566798835992813,,,,238.9075469970703,
,,,,,,,,,,,,,,,,,7,,,26522.018073754516,,,,,,,,,8606,,,41537.20527895381,,1763185578.3161395,14336000.0,0.8157510161399841,,,,,,,7,,,,,,,,559.259673433,,,,,,,0.1600046455860138,,,,238.1827850341797,
,,,,,,,,,,,,,,,,,8,,,27777.926626882505,,,,,,,,,8579,,,41551.00525102772,,1763185627.6046078,16384000.0,0.8153048753738403,,,,,,,8,,,,,,,,608.550015843,,,,,,,0.15852662920951843,,,,238.69390869140625,
,,,,,,,,,,,,,,,,,9,,,28839.966935977704,,,,,,,,,8608,,,41548.12426735202,,1763185676.89724,18432000.0,0.8171235918998718,,,,,,,9,,,,,,,,657.839358977,,,,,,,0.16356877982616425,,,,238.2731170654297,
