eval_video/len_s/h4_thrust_aim,timing/sps,eval_video/return_s/h3_point_the_thruster,eval_avg/return_s/h5_rotate_fall,eval_video/len_s/h0_weak_thrust,eval_avg/solve_rate_s/h1_thrust_over_ball,episode_length,timing/num_updates,eval_video/len_s/h8_unicycle_balance,eval_avg/return_s/h8_unicycle_balance,eval_video/len_s/h6_unicycle_right,_step,media/eval_video_s/h3_point_the_thruster,media/eval_video_s/h7_unicycle_left,media/eval_video_s/h1_thrust_over_ball,media/eval_video_s/h2_one_wheel_car,media/eval_video_s/h6_unicycle_right,timing/sps_agg,eval_video/return_s/h1_thrust_over_ball,media/eval_video_s/h4_thrust_aim,eval_avg/solve_rate_s/h5_rotate_fall,media/eval_video_s/h0_weak_thrust,eval_avg/solve_rate_s/h7_unicycle_left,media/eval_video_s/h5_rotate_fall,eval/mean_eval_solve,media/eval_video_s/h9_explode_then_thrust_over,eval_video/return_s/h7_unicycle_left,media/eval_video_s/h8_unicycle_balance,eval_avg/solve_rate_s/h8_unicycle_balance,eval_video/return_s/h2_one_wheel_car,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/return_s/h4_thrust_aim,eval_avg/return_s/h2_one_wheel_car,eval_video/len_s/h3_point_the_thruster,eval_video/return_s/h6_unicycle_right,_runtime,eval_avg/return_s/h1_thrust_over_ball,eval_video/return_s/h8_unicycle_balance,timing/num_env_steps,eval_avg/return_s/h9_explode_then_thrust_over,num_completed_episodes,eval_avg/solve_rate_s/h4_thrust_aim,eval_video/return_s/h0_weak_thrust,eval_video/return_s/h5_rotate_fall,eval_video/len_s/h2_one_wheel_car,eval_avg/return_s/h4_thrust_aim,eval/mean_eval_return,eval_avg/return_s/h7_unicycle_left,eval_avg/return_s/h6_unicycle_right,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h3_point_the_thruster,episode_solved,eval_video/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h3_point_the_thruster,eval_video/len_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h0_weak_thrust,eval/mean_eval_eplen,_timestamp,eval_avg/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h6_unicycle_right,eval_video/len_s/h9_explode_then_thrust_over,eval_avg/solve_rate_s/h9_explode_then_thrust_over,episode_return,eval_video/len_s/h5_rotate_fall
24.0,10760.352923473296,-0.046648383140563965,0.2956817150115967,23.0,0.0,187.8148651123047,0,21.0,-0.2654978930950165,255.0,0,"{'height': 125, 'path': 'media/videos/media/eval_video_s/h3_point_the_thruster_0_0e07a942b6e840722e1c.gif', 'sha256': '0e07a942b6e840722e1c9327c71776a1689a410ad3d94183635640b4874feca5', 'size': 24078, 'width': 125, '_type': 'video-file'}","{'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h7_unicycle_left_0_3398f3e48f0e77fd72f3.gif', 'sha256': '3398f3e48f0e77fd72f34c42e2e88f2d24441f1b79b7dc14e750a1be3d5b2162', 'size': 20203}","{'height': 125, 'path': 'media/videos/media/eval_video_s/h1_thrust_over_ball_0_c38063ae8837c73ec47d.gif', 'sha256': 'c38063ae8837c73ec47dbb3343cfd634977c2694be5fa60c2c64986a3e5bf183', 'size': 5211, 'width': 125, '_type': 'video-file'}","{'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h2_one_wheel_car_0_8ca7d81ec6d2e33ea205.gif', 'sha256': '8ca7d81ec6d2e33ea2051bffcccd78d54c9ad4c7df1bc7bc972863f5fdd6fddd', 'size': 14581}","{'sha256': '8fad49bc2023885d6fcae6c733231a1005b6b065fd58263c7afce80e6828f790', 'size': 20183, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h6_unicycle_right_0_8fad49bc2023885d6fca.gif'}",0.0,-0.5397071838378906,"{'path': 'media/videos/media/eval_video_s/h4_thrust_aim_0_31ff6efeab9fca5ba694.gif', 'sha256': '31ff6efeab9fca5ba69404ab5cf62647f9f462a55473368579718c9a08959889', 'size': 4033, 'width': 125, '_type': 'video-file', 'height': 125}",0.25,"{'size': 5076, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h0_weak_thrust_0_46f2a1cb52c94e823475.gif', 'sha256': '46f2a1cb52c94e82347539d6e5dd1f125ccc28e1ee538696e7bb1110d23fd9a4'}",0.0,"{'_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h5_rotate_fall_0_fddf84203404391a247f.gif', 'sha256': 'fddf84203404391a247f5ae1f0e95718c0b7f4ea2a0297c0ae1e3203ee6eeeed', 'size': 3803, 'width': 125}",0.055000003427267075,"{'size': 51005, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h9_explode_then_thrust_over_0_81050a55d7cf49d52a6d.gif', 'sha256': '81050a55d7cf49d52a6d59cc06a3848508f712e0018fba2feb5d725da6dc9398'}",-0.17976433038711548,"{'height': 125, 'path': 'media/videos/media/eval_video_s/h8_unicycle_balance_0_0e08e33b11343fcce317.gif', 'sha256': '0e08e33b11343fcce3175cdfca2ad2ad69774661f28c03769f441398352f821a', 'size': 3905, 'width': 125, '_type': 'video-file'}",0.15000000596046448,-0.04886362701654434,0.0,-0.3299311399459839,-0.050025928765535355,255.0,0.16407549381256104,215.750511391,-0.5540512204170227,-0.5168932676315308,0,-0.4476592540740967,9085,0.0,-0.7483974695205688,-0.20924293994903564,255.0,0.06900660693645477,-0.16583147644996643,-0.10238359123468399,0.06041496992111206,255.0,0.15000000596046448,0.28354430198669434,-0.6448535919189453,0.14636047184467316,20.0,0.0,160.53001403808594,1763148077.102706,-0.8101604580879211,0.0,255.0,0.0,0.3438795804977417,26.0
,36150.04094896558,,,,,198.7020721435547,1,,,,1,,,,,,8292.122274230023,,,,,,,,,,,,,,,,,,265.500374012,,,2048000,,10835,,,,,,,,,,,0.2368251085281372,,,,,,1763148126.8422525,,,,,0.2786063551902771,
,41208.83557743697,,,,,198.76119995117188,2,,,,2,,,,,,13806.145101704951,,,,,,,,,,,,,,,,,,315.195034942,,,4096000,,10331,,,,,,,,,,,0.23385925590991974,,,,,,1763148176.5409026,,,,,0.2712719142436981,
,41111.128610727224,,,,,199.31455993652344,3,,,,3,,,,,,17731.82287208587,,,,,,,,,,,,,,,,,,365.01529283,,,6144000,,10189,,,,,,,,,,,0.2380017638206482,,,,,,1763148226.3575456,,,,,0.28132450580596924,
,41119.855626943965,,,,,197.9783935546875,4,,,,4,,,,,,20671.14081956615,,,,,,,,,,,,,,,,,,414.819645289,,,8192000,,10324,,,,,,,,,,,0.24196048080921173,,,,,,1763148276.162166,,,,,0.28632959723472595,
,41163.34750826441,,,,,197.83030700683594,5,,,,5,,,,,,22956.846269443133,,,,,,,,,,,,,,,,,,464.575172252,,,10240000,,10413,,,,,,,,,,,0.24479016661643982,,,,,,1763148325.9163942,,,,,0.2916758954524994,
,41108.82983710203,,,,,196.33245849609375,6,,,,6,,,,,,24780.52452265387,,,,,,,,,,,,,,,,,,514.390080899,,,12288000,,10368,,,,,,,,,,,0.24623842537403107,,,,,,1763148375.7329931,,,,,0.2913549840450287,
,41061.39824743359,,,,,196.90582275390625,7,,,,7,,,,,,26268.447098572204,,,,,,,,,,,,,,,,,,564.270257192,,,14336000,,10406,,,,,,,,,,,0.24341726303100586,,,,,,1763148425.6115084,,,,,0.28693923354148865,
,41086.149630573156,,,,,196.9458465576172,8,,,,8,,,,,,27508.566197914755,,,,,,,,,,,,,,,,,,614.114223238,,,16384000,,10433,,,,,,,,,,,0.24825073778629303,,,,,,1763148475.457946,,,,,0.2969598174095154,
,41160.1979560888,,,,,199.11111450195312,9,,,,9,,,,,,28561.108752945267,,,,,,,,,,,,,,,,,,663.869276182,,,18432000,,10241,,,,,,,,,,,0.2358168214559555,,,,,,1763148525.2129407,,,,,0.2768228352069855,
