"Step","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_9_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_9_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_9_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_8_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_8_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_8_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_7_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_7_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_7_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_6_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_6_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_6_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_5_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_5_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_5_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_4_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_4_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_4_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_3_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_3_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_3_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_2_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_2_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_2_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_1_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_1_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_1_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_0_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_0_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_20_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-189.35000610351562","-189.35000610351562","-189.35000610351562","-199","-199","-199","-199","-199","-199","-199","-199","-199","-181.8000030517578","-181.8000030517578","-181.8000030517578","-199","-199","-199"
"3","-199","-199","-199","-198.8000030517578","-198.8000030517578","-198.8000030517578","-199","-199","-199","-193.0500030517578","-193.0500030517578","-193.0500030517578","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"4","-199","-199","-199","-199","-199","-199","-143.0500030517578","-143.0500030517578","-143.0500030517578","-184.85000610351562","-184.85000610351562","-184.85000610351562","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"5","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-197.60000610351562","-197.60000610351562","-197.60000610351562","-199","-199","-199"
"9","-199","-199","-199","-199","-199","-199","-169.40000915527344","-169.40000915527344","-169.40000915527344","-199","-199","-199","-164.5500030517578","-164.5500030517578","-164.5500030517578","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"11","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"14","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"16","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-189.25","-189.25","-189.25","-173.10000610351562","-173.10000610351562","-173.10000610351562"
"17","-199","-199","-199","-199","-199","-199","-171.8000030517578","-171.8000030517578","-171.8000030517578","-154.1999969482422","-154.1999969482422","-154.1999969482422","-185.60000610351562","-185.60000610351562","-185.60000610351562","-199","-199","-199","-199","-199","-199","-199","-199","-199","-191.35000610351562","-191.35000610351562","-191.35000610351562","-199","-199","-199"
"18","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"19","-199","-199","-199","-199","-199","-199","-190.1999969482422","-190.1999969482422","-190.1999969482422","-199","-199","-199","-188.5","-188.5","-188.5","-199","-199","-199","-199","-199","-199","-199","-199","-199","-196.5500030517578","-196.5500030517578","-196.5500030517578","-199","-199","-199"
"21","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-195.4499969482422","-195.4499969482422","-195.4499969482422","-136.5","-136.5","-136.5","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"25","-199","-199","-199","-199","-199","-199","-199","-199","-199","-180.10000610351562","-180.10000610351562","-180.10000610351562","-199","-199","-199","-199","-199","-199","-191.90000915527344","-191.90000915527344","-191.90000915527344","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"26","-199","-199","-199","-182.0500030517578","-182.0500030517578","-182.0500030517578","-184","-184","-184","-198.15000915527344","-198.15000915527344","-198.15000915527344","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"27","-199","-199","-199","-199","-199","-199","-189.5500030517578","-189.5500030517578","-189.5500030517578","-199","-199","-199","-199","-199","-199","-199","-199","-199","-198.3000030517578","-198.3000030517578","-198.3000030517578","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"33","-199","-199","-199","-199","-199","-199","-199","-199","-199","-174.3000030517578","-174.3000030517578","-174.3000030517578","-161.9499969482422","-161.9499969482422","-161.9499969482422","-198.6999969482422","-198.6999969482422","-198.6999969482422","-138.5500030517578","-138.5500030517578","-138.5500030517578","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"34","-197.35000610351562","-197.35000610351562","-197.35000610351562","-199","-199","-199","-160.90000915527344","-160.90000915527344","-160.90000915527344","-149.8000030517578","-149.8000030517578","-149.8000030517578","-199","-199","-199","-199","-199","-199","-199","-199","-199","-185.35000610351562","-185.35000610351562","-185.35000610351562","-199","-199","-199","-180.15000915527344","-180.15000915527344","-180.15000915527344"
"35","-199","-199","-199","-160.65000915527344","-160.65000915527344","-160.65000915527344","-188.0500030517578","-188.0500030517578","-188.0500030517578","-164.1999969482422","-164.1999969482422","-164.1999969482422","-199","-199","-199","-133.35000610351562","-133.35000610351562","-133.35000610351562","-199","-199","-199","-185.25","-185.25","-185.25","-192.65000915527344","-192.65000915527344","-192.65000915527344","-199","-199","-199"
"36","-178.25","-178.25","-178.25","-199","-199","-199","-199","-199","-199","-161.5","-161.5","-161.5","-198.9499969482422","-198.9499969482422","-198.9499969482422","-199","-199","-199","-159.1999969482422","-159.1999969482422","-159.1999969482422","-196.8000030517578","-196.8000030517578","-196.8000030517578","-199","-199","-199","-199","-199","-199"
"39","-195.75","-195.75","-195.75","-147.6999969482422","-147.6999969482422","-147.6999969482422","-181.40000915527344","-181.40000915527344","-181.40000915527344","-136","-136","-136","-199","-199","-199","-180.40000915527344","-180.40000915527344","-180.40000915527344","-136.3000030517578","-136.3000030517578","-136.3000030517578","-192.90000915527344","-192.90000915527344","-192.90000915527344","-183.5500030517578","-183.5500030517578","-183.5500030517578","-199","-199","-199"
"42","-174.9499969482422","-174.9499969482422","-174.9499969482422","-199","-199","-199","-186.35000610351562","-186.35000610351562","-186.35000610351562","-187.1999969482422","-187.1999969482422","-187.1999969482422","-199","-199","-199","-195.40000915527344","-195.40000915527344","-195.40000915527344","-172","-172","-172","-193.35000610351562","-193.35000610351562","-193.35000610351562","-199","-199","-199","-199","-199","-199"
