"Step","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_9_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_9_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_9_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_8_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_8_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_8_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_7_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_7_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_7_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_6_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_6_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_6_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_5_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_5_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_5_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_4_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_4_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_4_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_3_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_3_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_3_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_2_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_2_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_2_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_1_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_1_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_1_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_0_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_0_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_20_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","10.5625","10.5625","10.5625","10.5703125","10.5703125","10.5703125","11.6875","11.6875","11.6875","34.1953125","34.1953125","34.1953125","10.3359375","10.3359375","10.3359375","10.5234375","10.5234375","10.5234375","10.390625","10.390625","10.390625","10.5078125","10.5078125","10.5078125","10.4453125","10.4453125","10.4453125","10.578125","10.578125","10.578125"
"1","198.3515625","198.3515625","198.3515625","149.953125","149.953125","149.953125","125.2734375","125.2734375","125.2734375","194.71875","194.71875","194.71875","200","200","200","172.203125","172.203125","172.203125","194.8671875","194.8671875","194.8671875","200","200","200","181.8515625","181.8515625","181.8515625","200","200","200"
"2","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"3","200","200","200","200","200","200","200","200","200","200","200","200","199.8828125","199.8828125","199.8828125","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"4","200","200","200","200","200","200","200","200","200","200","200","200","199.9921875","199.9921875","199.9921875","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"5","200","200","200","200","200","200","200","200","200","200","200","200","199.6015625","199.6015625","199.6015625","199.921875","199.921875","199.921875","200","200","200","199.71875","199.71875","199.71875","199.984375","199.984375","199.984375","200","200","200"
"6","200","200","200","200","200","200","200","200","200","200","200","200","197.8671875","197.8671875","197.8671875","200","200","200","200","200","200","199.9765625","199.9765625","199.9765625","199.9765625","199.9765625","199.9765625","200","200","200"
"7","200","200","200","200","200","200","200","200","200","200","200","200","199.3984375","199.3984375","199.3984375","200","200","200","200","200","200","200","200","200","199.7578125","199.7578125","199.7578125","199.515625","199.515625","199.515625"
"8","200","200","200","200","200","200","200","200","200","200","200","200","199.3515625","199.3515625","199.3515625","200","200","200","200","200","200","198.6484375","198.6484375","198.6484375","199.9921875","199.9921875","199.9921875","200","200","200"
"9","200","200","200","200","200","200","200","200","200","200","200","200","198.7734375","198.7734375","198.7734375","199.1484375","199.1484375","199.1484375","200","200","200","199.8359375","199.8359375","199.8359375","200","200","200","200","200","200"
"10","200","200","200","200","200","200","200","200","200","200","200","200","197.9765625","197.9765625","197.9765625","197.7265625","197.7265625","197.7265625","200","200","200","199.484375","199.484375","199.484375","200","200","200","200","200","200"
"11","199.9765625","199.9765625","199.9765625","200","200","200","200","200","200","200","200","200","199.1640625","199.1640625","199.1640625","199.578125","199.578125","199.578125","200","200","200","197.015625","197.015625","197.015625","200","200","200","200","200","200"
"12","200","200","200","200","200","200","200","200","200","200","200","200","199.671875","199.671875","199.671875","199.90625","199.90625","199.90625","199.9765625","199.9765625","199.9765625","199.5625","199.5625","199.5625","200","200","200","199.9921875","199.9921875","199.9921875"
"13","200","200","200","200","200","200","200","200","200","200","200","200","199.6171875","199.6171875","199.6171875","199.125","199.125","199.125","200","200","200","198.875","198.875","198.875","200","200","200","200","200","200"
"14","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","199.4765625","199.4765625","199.4765625","199.9921875","199.9921875","199.9921875","199.6796875","199.6796875","199.6796875","200","200","200","200","200","200"
"15","200","200","200","200","200","200","200","200","200","200","200","200","199.9765625","199.9765625","199.9765625","199.84375","199.84375","199.84375","200","200","200","199.9453125","199.9453125","199.9453125","200","200","200","199.9921875","199.9921875","199.9921875"
"16","199.8359375","199.8359375","199.8359375","200","200","200","200","200","200","200","200","200","200","200","200","199.734375","199.734375","199.734375","200","200","200","200","200","200","200","200","200","200","200","200"
"17","199.8046875","199.8046875","199.8046875","200","200","200","200","200","200","200","200","200","199.7109375","199.7109375","199.7109375","198.953125","198.953125","198.953125","199.671875","199.671875","199.671875","200","200","200","200","200","200","200","200","200"
"18","199.984375","199.984375","199.984375","200","200","200","200","200","200","200","200","200","198.1875","198.1875","198.1875","198.4296875","198.4296875","198.4296875","200","200","200","200","200","200","200","200","200","200","200","200"
