"Step","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_9_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_9_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_9_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_8_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_8_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_8_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_7_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_7_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_7_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_6_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_6_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_6_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_5_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_5_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_5_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_4_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_4_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_4_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_3_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_3_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_3_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_2_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_2_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_2_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_1_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_1_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_1_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_0_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_0_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"3","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"4","-199","-199","-199","-199","-199","-199","-184.9499969482422","-184.9499969482422","-184.9499969482422","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-197.6999969482422","-197.6999969482422","-197.6999969482422"
"5","-199","-199","-199","-199","-199","-199","-190","-190","-190","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"9","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"11","-199","-199","-199","-199","-199","-199","-184.3000030517578","-184.3000030517578","-184.3000030517578","-146.5","-146.5","-146.5","-199","-199","-199","-199","-199","-199","-199","-199","-199","-171.25","-171.25","-171.25","-199","-199","-199","-199","-199","-199"
"14","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"16","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"17","-199","-199","-199","-199","-199","-199","-189.75","-189.75","-189.75","-129.9499969482422","-129.9499969482422","-129.9499969482422","-199","-199","-199","-165.5","-165.5","-165.5","-186.25","-186.25","-186.25","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"18","-199","-199","-199","-199","-199","-199","-199","-199","-199","-195.6999969482422","-195.6999969482422","-195.6999969482422","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-156.10000610351562","-156.10000610351562","-156.10000610351562","-199","-199","-199"
"19","-199","-199","-199","-199","-199","-199","-177.85000610351562","-177.85000610351562","-177.85000610351562","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"21","-199","-199","-199","-195.9499969482422","-195.9499969482422","-195.9499969482422","-199","-199","-199","-199","-199","-199","-199","-199","-199","-196.0500030517578","-196.0500030517578","-196.0500030517578","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"25","-199","-199","-199","-199","-199","-199","-199","-199","-199","-164.4499969482422","-164.4499969482422","-164.4499969482422","-197.5","-197.5","-197.5","-199","-199","-199","-199","-199","-199","-164.75","-164.75","-164.75","-199","-199","-199","-199","-199","-199"
"26","-199","-199","-199","-199","-199","-199","-176.40000915527344","-176.40000915527344","-176.40000915527344","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"27","-199","-199","-199","-199","-199","-199","-198.15000915527344","-198.15000915527344","-198.15000915527344","-199","-199","-199","-190.85000610351562","-190.85000610351562","-190.85000610351562","-199","-199","-199","-199","-199","-199","-183.8000030517578","-183.8000030517578","-183.8000030517578","-199","-199","-199","-199","-199","-199"
"33","-199","-199","-199","-199","-199","-199","-199","-199","-199","-168.40000915527344","-168.40000915527344","-168.40000915527344","-185.10000610351562","-185.10000610351562","-185.10000610351562","-199","-199","-199","-179.5","-179.5","-179.5","-193.5","-193.5","-193.5","-199","-199","-199","-157.5500030517578","-157.5500030517578","-157.5500030517578"
"34","-189.60000610351562","-189.60000610351562","-189.60000610351562","-199","-199","-199","-198.15000915527344","-198.15000915527344","-198.15000915527344","-162.85000610351562","-162.85000610351562","-162.85000610351562","-199","-199","-199","-174.25","-174.25","-174.25","-169.9499969482422","-169.9499969482422","-169.9499969482422","-180.15000915527344","-180.15000915527344","-180.15000915527344","-199","-199","-199","-163.5","-163.5","-163.5"
"35","-151.85000610351562","-151.85000610351562","-151.85000610351562","-199","-199","-199","-191.85000610351562","-191.85000610351562","-191.85000610351562","-137.3000030517578","-137.3000030517578","-137.3000030517578","-199","-199","-199","-199","-199","-199","-171.35000610351562","-171.35000610351562","-171.35000610351562","-185.9499969482422","-185.9499969482422","-185.9499969482422","-199","-199","-199","-190.10000610351562","-190.10000610351562","-190.10000610351562"
"36","-199","-199","-199","-199","-199","-199","-199","-199","-199","-133.25","-133.25","-133.25","-140.90000915527344","-140.90000915527344","-140.90000915527344","-160.15000915527344","-160.15000915527344","-160.15000915527344","-195.75","-195.75","-195.75","-157.65000915527344","-157.65000915527344","-157.65000915527344","-199","-199","-199","-148.6999969482422","-148.6999969482422","-148.6999969482422"
"39","-199","-199","-199","-199","-199","-199","-159.15000915527344","-159.15000915527344","-159.15000915527344","-143.5","-143.5","-143.5","-146.60000610351562","-146.60000610351562","-146.60000610351562","-171","-171","-171","-199","-199","-199","-112.25","-112.25","-112.25","-199","-199","-199","-182.5500030517578","-182.5500030517578","-182.5500030517578"
"42","-180.75","-180.75","-180.75","-199","-199","-199","-179.85000610351562","-179.85000610351562","-179.85000610351562","-136.25","-136.25","-136.25","-162.1999969482422","-162.1999969482422","-162.1999969482422","-177.75","-177.75","-177.75","-183.25","-183.25","-183.25","-123.1500015258789","-123.1500015258789","-123.1500015258789","-199","-199","-199","-151.5500030517578","-151.5500030517578","-151.5500030517578"
"44","-199","-199","-199","-199","-199","-199","-169.75","-169.75","-169.75","-135.65000915527344","-135.65000915527344","-135.65000915527344","-176.6999969482422","-176.6999969482422","-176.6999969482422","-184.25","-184.25","-184.25","-146.3000030517578","-146.3000030517578","-146.3000030517578","-110.80000305175781","-110.80000305175781","-110.80000305175781","-199","-199","-199","-146.90000915527344","-146.90000915527344","-146.90000915527344"
