"Step","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"1","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-163.3515625","-163.3515625","-163.3515625","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"2","-200","-200","-200","-200","-200","-200","-189.8125","-189.8125","-189.8125","-200","-200","-200","-200","-200","-200","-137.1953125","-137.1953125","-137.1953125","-200","-200","-200","-149.0078125","-149.0078125","-149.0078125","-200","-200","-200","-137.21875","-137.21875","-137.21875"
"3","-200","-200","-200","-175.9453125","-175.9453125","-175.9453125","-189.0390625","-189.0390625","-189.0390625","-200","-200","-200","-170.9609375","-170.9609375","-170.9609375","-128.1875","-128.1875","-128.1875","-200","-200","-200","-160.8671875","-160.8671875","-160.8671875","-161.703125","-161.703125","-161.703125","-110","-110","-110"
"4","-164","-164","-164","-166","-166","-166","-179.2421875","-179.2421875","-179.2421875","-200","-200","-200","-146.0703125","-146.0703125","-146.0703125","-130.4609375","-130.4609375","-130.4609375","-200","-200","-200","-118.7890625","-118.7890625","-118.7890625","-153.0859375","-153.0859375","-153.0859375","-128.890625","-128.890625","-128.890625"
"5","-118.1796875","-118.1796875","-118.1796875","-131.453125","-131.453125","-131.453125","-175.8671875","-175.8671875","-175.8671875","-200","-200","-200","-144.671875","-144.671875","-144.671875","-116.4921875","-116.4921875","-116.4921875","-200","-200","-200","-123.2421875","-123.2421875","-123.2421875","-130.1328125","-130.1328125","-130.1328125","-138.078125","-138.078125","-138.078125"
"6","-137.1171875","-137.1171875","-137.1171875","-128.296875","-128.296875","-128.296875","-174.3671875","-174.3671875","-174.3671875","-181.1328125","-181.1328125","-181.1328125","-145.890625","-145.890625","-145.890625","-115.4375","-115.4375","-115.4375","-200","-200","-200","-123.2578125","-123.2578125","-123.2578125","-114.328125","-114.328125","-114.328125","-136.0234375","-136.0234375","-136.0234375"
"7","-131.140625","-131.140625","-131.140625","-132.828125","-132.828125","-132.828125","-170.296875","-170.296875","-170.296875","-147.6171875","-147.6171875","-147.6171875","-148.859375","-148.859375","-148.859375","-122.9921875","-122.9921875","-122.9921875","-200","-200","-200","-137.3984375","-137.3984375","-137.3984375","-115.34375","-115.34375","-115.34375","-133.28125","-133.28125","-133.28125"
"8","-127.9765625","-127.9765625","-127.9765625","-139.390625","-139.390625","-139.390625","-174.875","-174.875","-174.875","-151.3671875","-151.3671875","-151.3671875","-152.4453125","-152.4453125","-152.4453125","-128.9453125","-128.9453125","-128.9453125","-200","-200","-200","-143.7890625","-143.7890625","-143.7890625","-116.5859375","-116.5859375","-116.5859375","-134.7578125","-134.7578125","-134.7578125"
"9","-125.34375","-125.34375","-125.34375","-134.6796875","-134.6796875","-134.6796875","-173.421875","-173.421875","-173.421875","-150.328125","-150.328125","-150.328125","-153.0078125","-153.0078125","-153.0078125","-132.453125","-132.453125","-132.453125","-200","-200","-200","-136.5390625","-136.5390625","-136.5390625","-112.3984375","-112.3984375","-112.3984375","-132.9375","-132.9375","-132.9375"
"10","-123.3125","-123.3125","-123.3125","-131.8203125","-131.8203125","-131.8203125","-164.2421875","-164.2421875","-164.2421875","-152.5625","-152.5625","-152.5625","-154.625","-154.625","-154.625","-127.9375","-127.9375","-127.9375","-200","-200","-200","-135.171875","-135.171875","-135.171875","-125.953125","-125.953125","-125.953125","-122.421875","-122.421875","-122.421875"
"11","-124.1640625","-124.1640625","-124.1640625","-132.53125","-132.53125","-132.53125","-161.5625","-161.5625","-161.5625","-155.15625","-155.15625","-155.15625","-153.7734375","-153.7734375","-153.7734375","-132.4375","-132.4375","-132.4375","-200","-200","-200","-139.09375","-139.09375","-139.09375","-125.859375","-125.859375","-125.859375","-132.046875","-132.046875","-132.046875"
