eval/mean_eval_eplen,eval_video/return_s/h2_one_wheel_car,media/eval_video_s/h6_unicycle_right,media/eval_video_s/h5_rotate_fall,eval_video/len_s/h9_explode_then_thrust_over,timing/sps,eval_video/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h8_unicycle_balance,eval_avg/return_s/h6_unicycle_right,eval_avg/return_s/h1_thrust_over_ball,num_completed_episodes,eval_video/return_s/h1_thrust_over_ball,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h7_unicycle_left,eval_avg/solve_rate_s/h6_unicycle_right,eval_avg/solve_rate_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h0_weak_thrust,eval_avg/solve_rate_s/h4_thrust_aim,media/eval_video_s/h0_weak_thrust,eval_avg/return_s/h0_weak_thrust,eval_video/return_s/h4_thrust_aim,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/len_s/h4_thrust_aim,episode_return,media/eval_video_s/h7_unicycle_left,eval_avg/solve_rate_s/h9_explode_then_thrust_over,eval/mean_eval_return,eval_video/len_s/h2_one_wheel_car,eval_video/len_s/h8_unicycle_balance,media/eval_video_s/h9_explode_then_thrust_over,episode_solved,eval_video/len_s/h0_weak_thrust,eval_video/return_s/h5_rotate_fall,_timestamp,timing/num_updates,timing/num_env_steps,eval_avg/return_s/h4_thrust_aim,media/eval_video_s/h3_point_the_thruster,eval_avg/return_s/h2_one_wheel_car,eval_avg/return_s/h8_unicycle_balance,eval_avg/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h7_unicycle_left,eval_avg/return_s/h5_rotate_fall,eval_video/return_s/h8_unicycle_balance,_step,eval_avg/solve_rate_s/h5_rotate_fall,eval_video/len_s/h6_unicycle_right,timing/sps_agg,eval_avg/return_s/h3_point_the_thruster,_runtime,eval_video/len_s/h1_thrust_over_ball,eval/mean_eval_solve,eval_video/return_s/h6_unicycle_right,media/eval_video_s/h2_one_wheel_car,eval_video/return_s/h9_explode_then_thrust_over,episode_length,eval_video/len_s/h3_point_the_thruster,eval_video/return_s/h3_point_the_thruster,eval_video/len_s/h5_rotate_fall,media/eval_video_s/h8_unicycle_balance,eval_avg/solve_rate_s/h3_point_the_thruster,media/eval_video_s/h1_thrust_over_ball,media/eval_video_s/h4_thrust_aim,eval_video/return_s/h7_unicycle_left
160.53001403808594,-0.048863790929317474,"{'width': 125, 'height': 125, 'sha256': '8fad49bc2023885d6fcae6c733231a1005b6b065fd58263c7afce80e6828f790', 'path': 'media/videos/media/eval_video_s/h6_unicycle_right_0_8fad49bc2023885d6fca.gif', 'size': 20183, '_type': 'video-file'}","{'height': 125, 'sha256': 'fddf84203404391a247f5ae1f0e95718c0b7f4ea2a0297c0ae1e3203ee6eeeed', 'path': 'media/videos/media/eval_video_s/h5_rotate_fall_0_fddf84203404391a247f.gif', 'size': 3803, '_type': 'video-file', 'width': 125}",255.0,10952.271035525744,-0.7483974695205688,0.15000000596046448,0.06041496992111206,-0.5540512204170227,71680,-0.5397071838378906,255.0,0.0,0.0,0.0,0.0,0.0,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '46f2a1cb52c94e82347539d6e5dd1f125ccc28e1ee538696e7bb1110d23fd9a4', 'path': 'media/videos/media/eval_video_s/h0_weak_thrust_0_46f2a1cb52c94e823475.gif', 'size': 5076}",-0.8101604580879211,-0.3299311399459839,0.0,24.0,-0.3876228332519531,"{'width': 125, 'height': 125, 'sha256': '3398f3e48f0e77fd72f34c42e2e88f2d24441f1b79b7dc14e750a1be3d5b2162', 'path': 'media/videos/media/eval_video_s/h7_unicycle_left_0_3398f3e48f0e77fd72f3.gif', 'size': 20203, '_type': 'video-file'}",0.0,-0.16583314538002014,255.0,21.0,"{'sha256': '81050a55d7cf49d52a6d59cc06a3848508f712e0018fba2feb5d725da6dc9398', 'path': 'media/videos/media/eval_video_s/h9_explode_then_thrust_over_0_81050a55d7cf49d52a6d.gif', 'size': 51005, '_type': 'video-file', 'width': 125, 'height': 125}",0.0,23.0,-0.20924293994903564,1763171990.4612176,0,0.0,0.06900661438703537,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '0e07a942b6e840722e1c9327c71776a1689a410ad3d94183635640b4874feca5', 'path': 'media/videos/media/eval_video_s/h3_point_the_thruster_0_0e07a942b6e840722e1c.gif', 'size': 24078}",-0.05002596601843834,-0.2654978930950165,-0.4476759135723114,-0.10238359123468399,0.2956817150115967,-0.5168932676315308,0,0.25,255.0,0.0,0.14636047184467316,211.753358899,20.0,0.055000003427267075,0.16407549381256104,"{'height': 125, 'sha256': 'f3c5b93d996b1eaafd884004af174e35e6766963c06351a1996100447e25836b', 'path': 'media/videos/media/eval_video_s/h2_one_wheel_car_0_f3c5b93d996b1eaafd88.gif', 'size': 14582, '_type': 'video-file', 'width': 125}",-0.6448535919189453,28.0,255.0,-0.046648383140563965,26.0,"{'_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '0e08e33b11343fcce3175cdfca2ad2ad69774661f28c03769f441398352f821a', 'path': 'media/videos/media/eval_video_s/h8_unicycle_balance_0_0e08e33b11343fcce317.gif', 'size': 3905}",0.15000000596046448,"{'size': 5211, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': 'c38063ae8837c73ec47dbb3343cfd634977c2694be5fa60c2c64986a3e5bf183', 'path': 'media/videos/media/eval_video_s/h1_thrust_over_ball_0_c38063ae8837c73ec47d.gif'}","{'path': 'media/videos/media/eval_video_s/h4_thrust_aim_0_31ff6efeab9fca5ba694.gif', 'size': 4033, '_type': 'video-file', 'width': 125, 'height': 125, 'sha256': '31ff6efeab9fca5ba69404ab5cf62647f9f462a55473368579718c9a08959889'}",-0.17976433038711548
,,,,,37611.392984887614,,,,,73728,,,,,,,,,,,,,-0.38761192560195923,,,,,,,0.0,,,1763172039.028492,1,2048000.0,,,,,,,,,1,,,8482.252355930204,,260.330348326,,,,,,28.0,,,,,,,,
,,,,,42110.18639193818,,,,,73728,,,,,,,,,,,,,-0.38763242959976196,,,,,,,0.0,,,1763172087.662364,2,4096000.0,,,,,,,,,2,,,14120.261310657896,,308.96785199,,,,,,28.0,,,,,,,,
,,,,,42083.05678210147,,,,,71680,,,,,,,,,,,,,-0.3876870274543762,,,,,,,0.0,,,1763172136.3280404,3,6144000.0,,,,,,,,,3,,,18137.52188757897,,357.629002923,,,,,,28.0,,,,,,,,
,,,,,42087.17789810349,,,,,73728,,,,,,,,,,,,,-0.38755279779434204,,,,,,,1.3563368156610522e-05,,,1763172184.9887586,4,8192000.0,,,,,,,,,4,,,21145.764623934905,,406.287078707,,,,,,27.99998664855957,,,,,,,,
,,,,,42072.99913912796,,,,,73728,,,,,,,,,,,,,-0.3876686096191406,,,,,,,0.0,,,1763172233.666293,5,10240000.0,,,,,,,,,5,,,23481.742269208273,,454.964647329,,,,,,28.0,,,,,,,,
,,,,,42077.08324649868,,,,,73728,,,,,,,,,,,,,-0.38764795660972595,,,,,,,0.0,,,1763172282.3390977,6,12288000.0,,,,,,,,,6,,,25348.832146360066,,503.635871552,,,,,,28.0,,,,,,,,
,,,,,42056.42251333768,,,,,71680,,,,,,,,,,,,,-0.3876412510871887,,,,,,,0.0,,,1763172331.0352705,7,14336000.0,,,,,,,,,7,,,26873.99300626113,,552.332166827,,,,,,28.0,,,,,,,,
,,,,,42079.59135595138,,,,,73728,,,,,,,,,,,,,-0.3876707851886749,,,,,,,0.0,,,1763172379.7048898,8,16384000.0,,,,,,,,,8,,,28145.29221281274,,601.004103548,,,,,,28.0,,,,,,,,
,,,,,42062.100595829615,,,,,73728,,,,,,,,,,,,,-0.38755857944488525,,,,,,,1.3563368156610522e-05,,,1763172428.3950675,9,18432000.0,,,,,,,,,9,,,29219.476027173063,,649.696271456,,,,,,27.99998664855957,,,,,,,,
