eval_video/len_s/h4_thrust_aim,timing/sps,eval_video/return_s/h3_point_the_thruster,eval_avg/return_s/h5_rotate_fall,eval_video/len_s/h0_weak_thrust,eval_avg/solve_rate_s/h1_thrust_over_ball,episode_length,timing/num_updates,eval_video/len_s/h8_unicycle_balance,eval_avg/return_s/h8_unicycle_balance,eval_video/len_s/h6_unicycle_right,_step,media/eval_video_s/h3_point_the_thruster,media/eval_video_s/h7_unicycle_left,media/eval_video_s/h1_thrust_over_ball,media/eval_video_s/h2_one_wheel_car,media/eval_video_s/h6_unicycle_right,timing/sps_agg,eval_video/return_s/h1_thrust_over_ball,media/eval_video_s/h4_thrust_aim,eval_avg/solve_rate_s/h5_rotate_fall,media/eval_video_s/h0_weak_thrust,eval_avg/solve_rate_s/h7_unicycle_left,media/eval_video_s/h5_rotate_fall,eval/mean_eval_solve,media/eval_video_s/h9_explode_then_thrust_over,eval_video/return_s/h7_unicycle_left,media/eval_video_s/h8_unicycle_balance,eval_avg/solve_rate_s/h8_unicycle_balance,eval_video/return_s/h2_one_wheel_car,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/return_s/h4_thrust_aim,eval_avg/return_s/h2_one_wheel_car,eval_video/len_s/h3_point_the_thruster,eval_video/return_s/h6_unicycle_right,_runtime,eval_avg/return_s/h1_thrust_over_ball,eval_video/return_s/h8_unicycle_balance,timing/num_env_steps,eval_avg/return_s/h9_explode_then_thrust_over,num_completed_episodes,eval_avg/solve_rate_s/h4_thrust_aim,eval_video/return_s/h0_weak_thrust,eval_video/return_s/h5_rotate_fall,eval_video/len_s/h2_one_wheel_car,eval_avg/return_s/h4_thrust_aim,eval/mean_eval_return,eval_avg/return_s/h7_unicycle_left,eval_avg/return_s/h6_unicycle_right,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h3_point_the_thruster,episode_solved,eval_video/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h3_point_the_thruster,eval_video/len_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h0_weak_thrust,eval/mean_eval_eplen,_timestamp,eval_avg/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h6_unicycle_right,eval_video/len_s/h9_explode_then_thrust_over,eval_avg/solve_rate_s/h9_explode_then_thrust_over,episode_return,eval_video/len_s/h5_rotate_fall
24.0,10715.465947110122,-0.046648383140563965,0.2956817150115967,23.0,0.0,22.77242660522461,0,21.0,-0.2654978930950165,255.0,0,"{'_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h3_point_the_thruster_0_0e07a942b6e840722e1c.gif', 'sha256': '0e07a942b6e840722e1c9327c71776a1689a410ad3d94183635640b4874feca5', 'size': 24078, 'width': 125}","{'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h7_unicycle_left_0_3398f3e48f0e77fd72f3.gif', 'sha256': '3398f3e48f0e77fd72f34c42e2e88f2d24441f1b79b7dc14e750a1be3d5b2162', 'size': 20203}","{'height': 125, 'path': 'media/videos/media/eval_video_s/h1_thrust_over_ball_0_c38063ae8837c73ec47d.gif', 'sha256': 'c38063ae8837c73ec47dbb3343cfd634977c2694be5fa60c2c64986a3e5bf183', 'size': 5211, 'width': 125, '_type': 'video-file'}","{'sha256': 'f3c5b93d996b1eaafd884004af174e35e6766963c06351a1996100447e25836b', 'size': 14582, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h2_one_wheel_car_0_f3c5b93d996b1eaafd88.gif'}","{'path': 'media/videos/media/eval_video_s/h6_unicycle_right_0_8fad49bc2023885d6fca.gif', 'sha256': '8fad49bc2023885d6fcae6c733231a1005b6b065fd58263c7afce80e6828f790', 'size': 20183, 'width': 125, '_type': 'video-file', 'height': 125}",0.0,-0.5397071838378906,"{'height': 125, 'path': 'media/videos/media/eval_video_s/h4_thrust_aim_0_31ff6efeab9fca5ba694.gif', 'sha256': '31ff6efeab9fca5ba69404ab5cf62647f9f462a55473368579718c9a08959889', 'size': 4033, 'width': 125, '_type': 'video-file'}",0.25,"{'_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h0_weak_thrust_0_46f2a1cb52c94e823475.gif', 'sha256': '46f2a1cb52c94e82347539d6e5dd1f125ccc28e1ee538696e7bb1110d23fd9a4', 'size': 5076, 'width': 125}",0.0,"{'height': 125, 'path': 'media/videos/media/eval_video_s/h5_rotate_fall_0_fddf84203404391a247f.gif', 'sha256': 'fddf84203404391a247f5ae1f0e95718c0b7f4ea2a0297c0ae1e3203ee6eeeed', 'size': 3803, 'width': 125, '_type': 'video-file'}",0.055000003427267075,"{'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h9_explode_then_thrust_over_0_81050a55d7cf49d52a6d.gif', 'sha256': '81050a55d7cf49d52a6d59cc06a3848508f712e0018fba2feb5d725da6dc9398', 'size': 51005}",-0.17976433038711548,"{'_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h8_unicycle_balance_0_0e08e33b11343fcce317.gif', 'sha256': '0e08e33b11343fcce3175cdfca2ad2ad69774661f28c03769f441398352f821a', 'size': 3905, 'width': 125}",0.15000000596046448,-0.048863817006349564,0.0,-0.3299311399459839,-0.05002593994140625,255.0,0.16407549381256104,214.871719748,-0.5540512204170227,-0.5168932676315308,0,-0.44767656922340393,86987,0.0,-0.7483974695205688,-0.20924293994903564,255.0,0.06900659948587418,-0.16583319008350372,-0.10238359123468399,0.06041496992111206,255.0,0.15000000596046448,0.10608481615781784,-0.6448535919189453,0.14636047184467316,20.0,0.0,160.53001403808594,1763150747.7189877,-0.8101604580879211,0.0,255.0,0.0,-0.5382062792778015,26.0
,37635.11010800487,,,,,23.686695098876953,1,,,,1,,,,,,8340.690156739958,,,,,,,,,,,,,,,,,,264.040922888,,,2048000,,86542,,,,,,,,,,,0.10892976820468903,,,,,,1763150796.8860607,,,,,-0.5295423865318298,
,41606.76429809421,,,,,23.853321075439453,2,,,,2,,,,,,13895.768391909574,,,,,,,,,,,,,,,,,,313.273369754,,,4096000,,85752,,,,,,,,,,,0.10919862240552902,,,,,,1763150846.1087685,,,,,-0.5289721488952637,
,41582.85491466857,,,,,23.784812927246094,3,,,,3,,,,,,17859.5792550621,,,,,,,,,,,,,,,,,,362.514508711,,,6144000,,86051,,,,,,,,,,,0.10987669974565506,,,,,,1763150895.3598595,,,,,-0.5276298522949219,
,41557.16066002601,,,,,23.637481689453125,4,,,,4,,,,,,20828.95890878557,,,,,,,,,,,,,,,,,,411.79838351,,,8192000,,86801,,,,,,,,,,,0.10973376035690308,,,,,,1763150944.641513,,,,,-0.5281204581260681,
,41535.849143896594,,,,,23.727100372314453,5,,,,5,,,,,,23135.732895338417,,,,,,,,,,,,,,,,,,461.10323953,,,10240000,,85973,,,,,,,,,,,0.10925523191690445,,,,,,1763150993.9481578,,,,,-0.5289208889007568,
,41537.71887395329,,,,,23.883703231811523,6,,,,6,,,,,,24980.18073751072,,,,,,,,,,,,,,,,,,510.40958748,,,12288000,,86142,,,,,,,,,,,0.1096213236451149,,,,,,1763151043.252743,,,,,-0.5273463129997253,
,41533.15983170945,,,,,23.72435760498047,7,,,,7,,,,,,26488.30571714222,,,,,,,,,,,,,,,,,,559.718404374,,,14336000,,86195,,,,,,,,,,,0.10889262706041336,,,,,,1763151092.56267,,,,,-0.5298401117324829,
,41550.997010462816,,,,,23.695240020751953,8,,,,8,,,,,,27745.564580036484,,,,,,,,,,,,,,,,,,609.009581842,,,16384000,,86540,,,,,,,,,,,0.10836607217788696,,,,,,1763151141.851494,,,,,-0.5309118032455444,
,41550.54519132169,,,,,23.822460174560547,9,,,,9,,,,,,28809.085500929104,,,,,,,,,,,,,,,,,,658.295379582,,,18432000,,85784,,,,,,,,,,,0.10881982743740082,,,,,,1763151191.1405523,,,,,-0.5298023819923401,
,41538.97549782871,,,,,23.906633377075195,10,,,,10,,,,,,29719.870312708284,,,,,,,,,,,,,,,,,,707.598782442,,,20480000,,85620,,,,,,,,,,,0.10899322479963303,,,,,,1763151240.4440334,,,,,-0.5292908549308777,
,41536.83550645251,,,,,24.004121780395508,11,,,,11,,,,,,30508.92437665304,,,,,,,,,,,,,,,,,,756.906618752,,,22528000,,85400,,,,,,,,,,,0.10939110070466995,,,,,,1763151289.749164,,,,,-0.5284045338630676,
,41538.98755021607,,,,,23.856475830078125,12,,,,12,,,,,,31199.300403934136,,,,,,,,,,,,,,,,,,806.210037008,,,24576000,,85846,,,,,,,,,,,0.11098944395780563,,,,,,1763151339.0535483,,,,,-0.5248162150382996,
,41531.69311743967,,,,,23.728967666625977,13,,,,13,,,,,,31808.016097130963,,,,,,,,,,,,,,,,,,855.523297653,,,26624000,,86130,,,,,,,,,,,0.10914896428585052,,,,,,1763151388.3647017,,,,,-0.5292370319366455,
,41532.15255895973,,,,,23.850557327270508,14,,,,14,,,,,,32349.019111604393,,,,,,,,,,,,,,,,,,904.834343068,,,28672000,,86160,,,,,,,,,,,0.11002785712480545,,,,,,1763151437.676054,,,,,-0.5268961787223816,
,41533.57452258727,,,,,23.829702377319336,15,,,,15,,,,,,32833.056471647134,,,,,,,,,,,,,,,,,,954.145690515,,,30720000,,85656,,,,,,,,,,,0.11102549731731415,,,,,,1763151486.9854257,,,,,-0.5249930024147034,
