eval_video/len_s/h4_thrust_aim,timing/sps,eval_video/return_s/h3_point_the_thruster,eval_avg/return_s/h5_rotate_fall,eval_video/len_s/h0_weak_thrust,eval_avg/solve_rate_s/h1_thrust_over_ball,episode_length,timing/num_updates,eval_video/len_s/h8_unicycle_balance,eval_avg/return_s/h8_unicycle_balance,eval_video/len_s/h6_unicycle_right,_step,media/eval_video_s/h3_point_the_thruster,media/eval_video_s/h7_unicycle_left,media/eval_video_s/h1_thrust_over_ball,media/eval_video_s/h2_one_wheel_car,media/eval_video_s/h6_unicycle_right,timing/sps_agg,eval_video/return_s/h1_thrust_over_ball,media/eval_video_s/h4_thrust_aim,eval_avg/solve_rate_s/h5_rotate_fall,media/eval_video_s/h0_weak_thrust,eval_avg/solve_rate_s/h7_unicycle_left,media/eval_video_s/h5_rotate_fall,eval/mean_eval_solve,media/eval_video_s/h9_explode_then_thrust_over,eval_video/return_s/h7_unicycle_left,media/eval_video_s/h8_unicycle_balance,eval_avg/solve_rate_s/h8_unicycle_balance,eval_video/return_s/h2_one_wheel_car,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/return_s/h4_thrust_aim,eval_avg/return_s/h2_one_wheel_car,eval_video/len_s/h3_point_the_thruster,eval_video/return_s/h6_unicycle_right,_runtime,eval_avg/return_s/h1_thrust_over_ball,eval_video/return_s/h8_unicycle_balance,timing/num_env_steps,eval_avg/return_s/h9_explode_then_thrust_over,num_completed_episodes,eval_avg/solve_rate_s/h4_thrust_aim,eval_video/return_s/h0_weak_thrust,eval_video/return_s/h5_rotate_fall,eval_video/len_s/h2_one_wheel_car,eval_avg/return_s/h4_thrust_aim,eval/mean_eval_return,eval_avg/return_s/h7_unicycle_left,eval_avg/return_s/h6_unicycle_right,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h3_point_the_thruster,episode_solved,eval_video/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h3_point_the_thruster,eval_video/len_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h0_weak_thrust,eval/mean_eval_eplen,_timestamp,eval_avg/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h6_unicycle_right,eval_video/len_s/h9_explode_then_thrust_over,eval_avg/solve_rate_s/h9_explode_then_thrust_over,episode_return,eval_video/len_s/h5_rotate_fall
24.0,10882.72079111876,-0.046648383140563965,0.2956817150115967,23.0,0.0,25.308582305908203,0,21.0,-0.2654978930950165,255.0,0,"{'height': 125, 'path': 'media/videos/media/eval_video_s/h3_point_the_thruster_0_0e07a942b6e840722e1c.gif', 'sha256': '0e07a942b6e840722e1c9327c71776a1689a410ad3d94183635640b4874feca5', 'size': 24078, 'width': 125, '_type': 'video-file'}","{'size': 20203, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h7_unicycle_left_0_3398f3e48f0e77fd72f3.gif', 'sha256': '3398f3e48f0e77fd72f34c42e2e88f2d24441f1b79b7dc14e750a1be3d5b2162'}","{'size': 5211, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h1_thrust_over_ball_0_c38063ae8837c73ec47d.gif', 'sha256': 'c38063ae8837c73ec47dbb3343cfd634977c2694be5fa60c2c64986a3e5bf183'}","{'size': 14582, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h2_one_wheel_car_0_f3c5b93d996b1eaafd88.gif', 'sha256': 'f3c5b93d996b1eaafd884004af174e35e6766963c06351a1996100447e25836b'}","{'size': 20183, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h6_unicycle_right_0_8fad49bc2023885d6fca.gif', 'sha256': '8fad49bc2023885d6fcae6c733231a1005b6b065fd58263c7afce80e6828f790'}",0.0,-0.5397071838378906,"{'sha256': '31ff6efeab9fca5ba69404ab5cf62647f9f462a55473368579718c9a08959889', 'size': 4033, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h4_thrust_aim_0_31ff6efeab9fca5ba694.gif'}",0.25,"{'size': 5076, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h0_weak_thrust_0_46f2a1cb52c94e823475.gif', 'sha256': '46f2a1cb52c94e82347539d6e5dd1f125ccc28e1ee538696e7bb1110d23fd9a4'}",0.0,"{'sha256': 'fddf84203404391a247f5ae1f0e95718c0b7f4ea2a0297c0ae1e3203ee6eeeed', 'size': 3803, 'width': 125, '_type': 'video-file', 'height': 125, 'path': 'media/videos/media/eval_video_s/h5_rotate_fall_0_fddf84203404391a247f.gif'}",0.055000003427267075,"{'height': 125, 'path': 'media/videos/media/eval_video_s/h9_explode_then_thrust_over_0_81050a55d7cf49d52a6d.gif', 'sha256': '81050a55d7cf49d52a6d59cc06a3848508f712e0018fba2feb5d725da6dc9398', 'size': 51005, 'width': 125, '_type': 'video-file'}",-0.17976433038711548,"{'path': 'media/videos/media/eval_video_s/h8_unicycle_balance_0_0e08e33b11343fcce317.gif', 'sha256': '0e08e33b11343fcce3175cdfca2ad2ad69774661f28c03769f441398352f821a', 'size': 3905, 'width': 125, '_type': 'video-file', 'height': 125}",0.15000000596046448,-0.048863813281059265,0.0,-0.3299311399459839,-0.05002593994140625,255.0,0.16407549381256104,213.151683765,-0.5540512204170227,-0.5168932676315308,0,-0.4476742446422577,79943,0.0,-0.7483974695205688,-0.20924293994903564,255.0,0.06900661438703537,-0.165832981467247,-0.10238359123468399,0.06041496992111206,255.0,0.15000000596046448,0.6330260038375854,-0.6448535919189453,0.14636047184467316,20.0,0.0,160.53001403808594,1763145447.3729808,-0.8101604580879211,0.0,255.0,0.0,0.6547920107841492,26.0
,37414.024799720195,,,,,25.315465927124023,1,,,,1,,,,,,8430.498579370185,,,,,,,,,,,,,,,,,,261.982885351,,,2048000,,80896,,,,,,,,,,,0.6309582591056824,,,,,,1763145496.196159,,,,,0.6503403186798096,
,41894.06076985112,,,,,25.30681037902832,2,,,,2,,,,,,14036.399895858924,,,,,,,,,,,,,,,,,,310.862783205,,,4096000,,80910,,,,,,,,,,,0.6334445476531982,,,,,,1763145545.0809891,,,,,0.6558394432067871,
,41867.016203838146,,,,,25.316566467285156,3,,,,3,,,,,,18031.898848284894,,,,,,,,,,,,,,,,,,359.782069976,,,6144000,,80890,,,,,,,,,,,0.6289157867431641,,,,,,1763145593.9977114,,,,,0.6463872790336609,
,41816.4091730673,,,,,25.313549041748047,4,,,,4,,,,,,21021.001981152753,,,,,,,,,,,,,,,,,,408.761077816,,,8192000,,80919,,,,,,,,,,,0.6300003528594971,,,,,,1763145642.9738095,,,,,0.6485630869865417,
,41810.73067772459,,,,,25.311641693115234,5,,,,5,,,,,,23342.322589087136,,,,,,,,,,,,,,,,,,457.742743603,,,10240000,,80904,,,,,,,,,,,0.6321442723274231,,,,,,1763145691.956765,,,,,0.6529526114463806,
,41825.89074487756,,,,,25.312774658203125,6,,,,6,,,,,,25198.244272707143,,,,,,,,,,,,,,,,,,506.706849323,,,12288000,,80905,,,,,,,,,,,0.6319386959075928,,,,,,1763145740.922476,,,,,0.6525067090988159,
,41810.82754868747,,,,,25.313425064086914,7,,,,7,,,,,,26714.59240199503,,,,,,,,,,,,,,,,,,555.68673176,,,14336000,,80919,,,,,,,,,,,0.6299756765365601,,,,,,1763145789.9036386,,,,,0.648367702960968,
,41811.23640607909,,,,,25.313526153564453,8,,,,8,,,,,,27977.301287315746,,,,,,,,,,,,,,,,,,604.669734414,,,16384000,,80893,,,,,,,,,,,0.6325392723083496,,,,,,1763145838.8858447,,,,,0.653769314289093,
,41826.31191295667,,,,,25.31574821472168,9,,,,9,,,,,,29045.89197472346,,,,,,,,,,,,,,,,,,653.634126621,,,18432000,,80884,,,,,,,,,,,0.6301493644714355,,,,,,1763145887.8499994,,,,,0.64863520860672,
